state_id,subdivision,year,month,season,regime_id,regime_assignment_version,previous_state_id,previous_regime_id,regime_changed,consecutive_months_in_current_regime,regime_duration
andaman_nicobar_islands_1901_01,Andaman & Nicobar Islands,1901,1,WINTER,REGIME_01,v1,,,False,1,1
andaman_nicobar_islands_1901_02,Andaman & Nicobar Islands,1901,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1901_01,REGIME_01,False,2,2
andaman_nicobar_islands_1901_03,Andaman & Nicobar Islands,1901,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_02,REGIME_01,False,3,3
andaman_nicobar_islands_1901_04,Andaman & Nicobar Islands,1901,4,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1901_03,REGIME_01,True,1,1
andaman_nicobar_islands_1901_05,Andaman & Nicobar Islands,1901,5,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_04,REGIME_02,True,1,1
andaman_nicobar_islands_1901_06,Andaman & Nicobar Islands,1901,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_05,REGIME_01,False,2,2
andaman_nicobar_islands_1901_07,Andaman & Nicobar Islands,1901,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_06,REGIME_01,False,3,3
andaman_nicobar_islands_1901_08,Andaman & Nicobar Islands,1901,8,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_07,REGIME_01,False,4,4
andaman_nicobar_islands_1901_09,Andaman & Nicobar Islands,1901,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1901_08,REGIME_01,True,1,1
andaman_nicobar_islands_1901_10,Andaman & Nicobar Islands,1901,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_09,REGIME_02,True,1,1
andaman_nicobar_islands_1901_11,Andaman & Nicobar Islands,1901,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1901_10,REGIME_01,False,2,2
andaman_nicobar_islands_1901_12,Andaman & Nicobar Islands,1901,12,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1901_11,REGIME_01,True,1,1
