subdivision,previous_state_id,current_state_id,previous_regime_id,current_regime_id,regime_changed,months_in_previous_regime
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_01,andaman_nicobar_islands_1901_02,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_02,andaman_nicobar_islands_1901_03,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_03,andaman_nicobar_islands_1901_04,REGIME_01,REGIME_02,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_04,andaman_nicobar_islands_1901_05,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_05,andaman_nicobar_islands_1901_06,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_06,andaman_nicobar_islands_1901_07,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_07,andaman_nicobar_islands_1901_08,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_08,andaman_nicobar_islands_1901_09,REGIME_01,REGIME_02,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_09,andaman_nicobar_islands_1901_10,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_10,andaman_nicobar_islands_1901_11,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_11,andaman_nicobar_islands_1901_12,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1901_12,andaman_nicobar_islands_1902_01,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_01,andaman_nicobar_islands_1902_02,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_02,andaman_nicobar_islands_1902_03,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_03,andaman_nicobar_islands_1902_04,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_04,andaman_nicobar_islands_1902_05,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_05,andaman_nicobar_islands_1902_06,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_06,andaman_nicobar_islands_1902_07,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_07,andaman_nicobar_islands_1902_08,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_08,andaman_nicobar_islands_1902_09,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_09,andaman_nicobar_islands_1902_10,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_10,andaman_nicobar_islands_1902_11,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_11,andaman_nicobar_islands_1902_12,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1902_12,andaman_nicobar_islands_1903_01,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_01,andaman_nicobar_islands_1903_02,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_02,andaman_nicobar_islands_1903_03,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_03,andaman_nicobar_islands_1903_04,REGIME_01,REGIME_02,True,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_04,andaman_nicobar_islands_1903_05,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_05,andaman_nicobar_islands_1903_06,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_06,andaman_nicobar_islands_1903_07,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_07,andaman_nicobar_islands_1903_08,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_08,andaman_nicobar_islands_1903_09,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_09,andaman_nicobar_islands_1903_10,REGIME_02,REGIME_02,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_10,andaman_nicobar_islands_1903_11,REGIME_02,REGIME_01,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_11,andaman_nicobar_islands_1903_12,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1903_12,andaman_nicobar_islands_1904_01,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_01,andaman_nicobar_islands_1904_02,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_02,andaman_nicobar_islands_1904_03,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_03,andaman_nicobar_islands_1904_04,REGIME_01,REGIME_01,False,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_04,andaman_nicobar_islands_1904_05,REGIME_01,REGIME_02,True,6
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_05,andaman_nicobar_islands_1904_06,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_06,andaman_nicobar_islands_1904_07,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_07,andaman_nicobar_islands_1904_08,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_08,andaman_nicobar_islands_1904_09,REGIME_02,REGIME_01,True,1
