subdivision,from_regime,to_regime,transition_count,transition_probability
Andaman & Nicobar Islands,REGIME_01,REGIME_01,662,0.4973703981968445
Andaman & Nicobar Islands,REGIME_01,REGIME_02,271,0.20360631104432758
Andaman & Nicobar Islands,REGIME_02,REGIME_01,270,0.20285499624342598
Andaman & Nicobar Islands,REGIME_02,REGIME_02,128,0.09616829451540196
Arunachal Pradesh,REGIME_01,REGIME_01,618,0.5232853513971211
Arunachal Pradesh,REGIME_01,REGIME_02,175,0.14817950889077053
Arunachal Pradesh,REGIME_02,REGIME_01,174,0.14733276883996613
Arunachal Pradesh,REGIME_02,REGIME_02,214,0.18120237087214225
Assam & Meghalaya,REGIME_01,REGIME_01,889,0.635
Assam & Meghalaya,REGIME_01,REGIME_02,216,0.15428571428571428
Assam & Meghalaya,REGIME_02,REGIME_01,216,0.15428571428571428
Assam & Meghalaya,REGIME_02,REGIME_02,79,0.056428571428571425
Bihar,REGIME_01,REGIME_01,1119,0.7992857142857143
Bihar,REGIME_01,REGIME_02,127,0.09071428571428572
Bihar,REGIME_02,REGIME_01,126,0.09
Bihar,REGIME_02,REGIME_02,28,0.02
Chhattisgarh,REGIME_01,REGIME_01,1123,0.8021428571428572
Chhattisgarh,REGIME_01,REGIME_02,123,0.08785714285714286
Chhattisgarh,REGIME_02,REGIME_01,123,0.08785714285714286
Chhattisgarh,REGIME_02,REGIME_02,31,0.02214285714285714
Coastal Andhra Pradesh,REGIME_01,REGIME_01,1131,0.8078571428571428
Coastal Andhra Pradesh,REGIME_01,REGIME_02,120,0.08571428571428572
Coastal Andhra Pradesh,REGIME_02,REGIME_01,120,0.08571428571428572
Coastal Andhra Pradesh,REGIME_02,REGIME_02,29,0.020714285714285713
Coastal Karnataka,REGIME_01,REGIME_01,862,0.6157142857142858
Coastal Karnataka,REGIME_01,REGIME_02,205,0.14642857142857144
Coastal Karnataka,REGIME_02,REGIME_01,205,0.14642857142857144
Coastal Karnataka,REGIME_02,REGIME_02,128,0.09142857142857143
East Madhya Pradesh,REGIME_01,REGIME_01,1134,0.81
East Madhya Pradesh,REGIME_01,REGIME_02,114,0.08142857142857143
East Madhya Pradesh,REGIME_02,REGIME_01,114,0.08142857142857143
East Madhya Pradesh,REGIME_02,REGIME_02,38,0.027142857142857142
East Rajasthan,REGIME_01,REGIME_01,1211,0.865
East Rajasthan,REGIME_01,REGIME_02,83,0.05928571428571429
East Rajasthan,REGIME_02,REGIME_01,83,0.05928571428571429
East Rajasthan,REGIME_02,REGIME_02,23,0.016428571428571428
East Uttar Pradesh,REGIME_01,REGIME_01,1182,0.8442857142857143
East Uttar Pradesh,REGIME_01,REGIME_02,93,0.06642857142857143
East Uttar Pradesh,REGIME_02,REGIME_01,92,0.06571428571428571
East Uttar Pradesh,REGIME_02,REGIME_02,33,0.023571428571428573
Gangetic West Bengal,REGIME_01,REGIME_01,1064,0.76
Gangetic West Bengal,REGIME_01,REGIME_02,144,0.10285714285714286
Gangetic West Bengal,REGIME_02,REGIME_01,143,0.10214285714285715
Gangetic West Bengal,REGIME_02,REGIME_02,49,0.035
Gujarat Region,REGIME_01,REGIME_01,1095,0.7821428571428571
Gujarat Region,REGIME_01,REGIME_02,123,0.08785714285714286
Gujarat Region,REGIME_02,REGIME_01,122,0.08714285714285715
Gujarat Region,REGIME_02,REGIME_02,60,0.04285714285714286
Haryana Delhi & Chandigarh,REGIME_01,REGIME_01,1256,0.8971428571428571
Haryana Delhi & Chandigarh,REGIME_01,REGIME_02,63,0.045
Haryana Delhi & Chandigarh,REGIME_02,REGIME_01,63,0.045
Haryana Delhi & Chandigarh,REGIME_02,REGIME_02,18,0.012857142857142857
Himachal Pradesh,REGIME_01,REGIME_01,1095,0.7821428571428571
Himachal Pradesh,REGIME_01,REGIME_02,129,0.09214285714285714
Himachal Pradesh,REGIME_02,REGIME_01,129,0.09214285714285714
Himachal Pradesh,REGIME_02,REGIME_02,47,0.03357142857142857
Jammu & Kashmir,REGIME_01,REGIME_01,1100,0.7857142857142857
Jammu & Kashmir,REGIME_01,REGIME_02,137,0.09785714285714285
Jammu & Kashmir,REGIME_02,REGIME_01,137,0.09785714285714285
Jammu & Kashmir,REGIME_02,REGIME_02,26,0.018571428571428572
Jharkhand,REGIME_01,REGIME_01,1108,0.7914285714285715
Jharkhand,REGIME_01,REGIME_02,128,0.09142857142857143
Jharkhand,REGIME_02,REGIME_01,127,0.09071428571428572
Jharkhand,REGIME_02,REGIME_02,37,0.02642857142857143
Kerala,REGIME_01,REGIME_01,819,0.585
Kerala,REGIME_01,REGIME_02,226,0.16142857142857142
Kerala,REGIME_02,REGIME_01,226,0.16142857142857142
Kerala,REGIME_02,REGIME_02,129,0.09214285714285714
Konkan & Goa,REGIME_01,REGIME_01,997,0.7121428571428572
Konkan & Goa,REGIME_01,REGIME_02,158,0.11285714285714285
Konkan & Goa,REGIME_02,REGIME_01,158,0.11285714285714285
Konkan & Goa,REGIME_02,REGIME_02,87,0.062142857142857146
Lakshadweep,REGIME_01,REGIME_01,906,0.6541516245487364
Lakshadweep,REGIME_01,REGIME_02,204,0.1472924187725632
Lakshadweep,REGIME_02,REGIME_01,204,0.1472924187725632
Lakshadweep,REGIME_02,REGIME_02,71,0.051263537906137184
Madhya Maharashtra,REGIME_01,REGIME_01,1189,0.8492857142857143
Madhya Maharashtra,REGIME_01,REGIME_02,94,0.06714285714285714
Madhya Maharashtra,REGIME_02,REGIME_01,94,0.06714285714285714
Madhya Maharashtra,REGIME_02,REGIME_02,23,0.016428571428571428
Matathwada,REGIME_01,REGIME_01,1175,0.8392857142857143
Matathwada,REGIME_01,REGIME_02,98,0.07
Matathwada,REGIME_02,REGIME_01,98,0.07
Matathwada,REGIME_02,REGIME_02,29,0.020714285714285713
Naga Mani Mizo Tripura,REGIME_01,REGIME_01,933,0.6664285714285715
Naga Mani Mizo Tripura,REGIME_01,REGIME_02,175,0.125
Naga Mani Mizo Tripura,REGIME_02,REGIME_01,175,0.125
Naga Mani Mizo Tripura,REGIME_02,REGIME_02,117,0.08357142857142857
North Interior Karnataka,REGIME_01,REGIME_01,1240,0.8857142857142857
North Interior Karnataka,REGIME_01,REGIME_02,75,0.05357142857142857
North Interior Karnataka,REGIME_02,REGIME_01,75,0.05357142857142857
North Interior Karnataka,REGIME_02,REGIME_02,10,0.007142857142857143
Orissa,REGIME_01,REGIME_01,1107,0.7907142857142857
