subdivision,year,month,season,actual,risk_probability,risk_level,alert_priority,policy_threshold,prediction_status
17,2009,6,MONSOON,1,0.16743715,CRITICAL,CRITICAL,0.09,TRUE_POSITIVE
27,2012,8,MONSOON,0,0.16704851,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
17,2016,8,MONSOON,0,0.16498064,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
17,2014,6,MONSOON,0,0.16493143,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2001,8,MONSOON,0,0.16456237,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2012,6,MONSOON,0,0.16282694,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2009,6,MONSOON,0,0.16241594,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
28,2010,7,MONSOON,0,0.16084562,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2005,8,MONSOON,0,0.15982072,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2006,6,MONSOON,0,0.15980673,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
4,2006,6,MONSOON,0,0.15686782,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
6,2009,6,MONSOON,0,0.15639168,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
27,2010,8,MONSOON,0,0.155757,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
30,2011,6,MONSOON,0,0.15566725,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
17,2014,8,MONSOON,1,0.15461488,CRITICAL,CRITICAL,0.09,TRUE_POSITIVE
17,2013,8,MONSOON,0,0.15461488,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
23,2014,6,MONSOON,0,0.15449172,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
4,2000,8,MONSOON,1,0.15445533,CRITICAL,CRITICAL,0.09,TRUE_POSITIVE
3,2017,6,MONSOON,0,0.15421796,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
28,2017,7,MONSOON,0,0.15411216,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
28,2007,7,MONSOON,0,0.15392584,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
17,2003,8,MONSOON,0,0.15391561,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
32,2014,6,MONSOON,0,0.15376332,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
28,2008,8,MONSOON,0,0.15375127,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
4,2014,6,MONSOON,0,0.15356557,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
23,2009,6,MONSOON,0,0.1531854,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
22,2014,6,MONSOON,0,0.15311198,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
17,2000,8,MONSOON,0,0.15282215,CRITICAL,CRITICAL,0.09,FALSE_POSITIVE
