month,observations,events,event_rate,alerts,alert_rate,average_probability,maximum_probability
0,648,78,0.12037037037037036,223,0.3441358024691358,0.07226655203626543,0.15141541
1,648,25,0.038580246913580245,29,0.044753086419753084,0.03529581888780864,0.10924279
2,612,4,0.006535947712418301,0,0.0,0.007343800346568627,0.059394196
3,648,12,0.018518518518518517,15,0.023148148148148147,0.016269985304475307,0.13871565
4,648,9,0.013888888888888888,2,0.0030864197530864196,0.011656911929320987,0.09644099
5,648,55,0.08487654320987655,238,0.36728395061728397,0.07609630402407407,0.1486622
6,648,95,0.14660493827160495,399,0.6157407407407407,0.09482590525586419,0.16743715
7,648,30,0.046296296296296294,43,0.06635802469135803,0.035418841017746915,0.16084562
8,648,103,0.15895061728395063,400,0.6172839506172839,0.0946700092175926,0.16704851
9,612,2,0.0032679738562091504,0,0.0,0.00635224056748366,0.041473124
10,612,2,0.0032679738562091504,0,0.0,0.006833319424673202,0.046776377
11,648,9,0.013888888888888888,0,0.0,0.01332828969537037,0.06297366
