subdivision,observations,events,event_rate,alerts,alert_rate,average_probability,maximum_probability,precision,recall,f1,risk_rank
28,213,18,0.08450704225352113,88,0.4131455399061033,0.06920503846197183,0.16084562,0.1590909090909091,0.7777777777777778,0.2641509433962264,1
2,213,35,0.1643192488262911,72,0.3380281690140845,0.06186186690798121,0.14218853,0.25,0.5142857142857142,0.3364485981308411,2
27,213,20,0.09389671361502347,73,0.3427230046948357,0.059432339868544605,0.16704851,0.1780821917808219,0.65,0.27956989247311825,3
16,213,12,0.056338028169014086,55,0.25821596244131456,0.0554026222483568,0.13620943,0.10909090909090909,0.5,0.1791044776119403,4
21,213,13,0.06103286384976526,61,0.2863849765258216,0.05464697823568076,0.1372472,0.16393442622950818,0.7692307692307693,0.2702702702702703,5
17,213,14,0.06572769953051644,63,0.29577464788732394,0.054088613682629114,0.16743715,0.19047619047619047,0.8571428571428571,0.3116883116883117,6
6,213,9,0.04225352112676056,60,0.28169014084507044,0.0530407857629108,0.15639168,0.11666666666666667,0.7777777777777778,0.2028985507246377,7
4,213,15,0.07042253521126761,65,0.3051643192488263,0.04928433714131456,0.15686782,0.16923076923076924,0.7333333333333333,0.275,8
22,213,17,0.07981220657276995,63,0.29577464788732394,0.04896626574788733,0.15311198,0.1746031746031746,0.6470588235294118,0.275,9
0,213,3,0.014084507042253521,48,0.22535211267605634,0.04849740198356808,0.13461252,0.020833333333333332,0.3333333333333333,0.0392156862745098,10
23,213,18,0.08450704225352113,60,0.28169014084507044,0.04773145871971831,0.15449172,0.2,0.6666666666666666,0.3076923076923077,11
19,213,10,0.046948356807511735,60,0.28169014084507044,0.04588200958920188,0.14728309,0.15,0.9,0.2571428571428571,12
3,213,9,0.04225352112676056,52,0.24413145539906103,0.044939692931924874,0.15421796,0.11538461538461539,0.6666666666666666,0.19672131147540983,13
25,213,6,0.028169014084507043,48,0.22535211267605634,0.044691299886854455,0.14898096,0.08333333333333333,0.6666666666666666,0.14814814814814814,14
20,213,12,0.056338028169014086,55,0.25821596244131456,0.04420984392957747,0.14850384,0.12727272727272726,0.5833333333333334,0.208955223880597,15
5,213,8,0.03755868544600939,47,0.22065727699530516,0.04205639441126761,0.14685972,0.0851063829787234,0.5,0.14545454545454545,16
18,213,9,0.04225352112676056,41,0.19248826291079812,0.04164657724366197,0.14910543,0.14634146341463414,0.6666666666666666,0.24,17
10,213,6,0.028169014084507043,38,0.1784037558685446,0.039506779753521126,0.13095985,0.07894736842105263,0.5,0.13636363636363635,18
13,213,12,0.056338028169014086,7,0.03286384976525822,0.03922013712394366,0.12393847,0.0,0.0,0.0,19
14,213,9,0.04225352112676056,3,0.014084507042253521,0.0387510815600939,0.10167489,0.0,0.0,0.0,20
32,213,12,0.056338028169014086,47,0.22065727699530516,0.03872524544694835,0.15376332,0.1276595744680851,0.5,0.2033898305084746,21
15,213,22,0.10328638497652583,43,0.20187793427230047,0.03830600312347418,0.1257691,0.32558139534883723,0.6363636363636364,0.4307692307692308,22
29,213,28,0.13145539906103287,26,0.12206572769953052,0.03762866530140845,0.14742124,0.19230769230769232,0.17857142857142858,0.18518518518518517,23
7,213,16,0.07511737089201878,35,0.1643192488262911,0.03671749847183099,0.13737607,0.37142857142857144,0.8125,0.5098039215686274,24
30,213,5,0.023474178403755867,38,0.1784037558685446,0.03647354158403756,0.15566725,0.07894736842105263,0.6,0.13953488372093023,25
1,213,6,0.028169014084507043,0,0.0,0.032986318894835685,0.088880606,0.0,0.0,0.0,26
31,213,7,0.03286384976525822,23,0.107981220657277,0.03291734397887324,0.14982542,0.13043478260869565,0.42857142857142855,0.2,27
33,213,9,0.04225352112676056,26,0.12206572769953052,0.030319524206103288,0.1452992,0.11538461538461539,0.3333333333333333,0.17142857142857143,28
9,213,16,0.07511737089201878,14,0.06572769953051644,0.029691084580751172,0.12288241,0.5714285714285714,0.5,0.5333333333333333,29
35,213,15,0.07042253521126761,12,0.056338028169014086,0.026184964732394365,0.123040296,0.5,0.4,0.4444444444444444,30
8,213,3,0.014084507042253521,10,0.046948356807511735,0.02243600085633803,0.103171036,0.0,0.0,0.0,31
24,213,9,0.04225352112676056,9,0.04225352112676056,0.022396017160093897,0.116988,0.2222222222222222,0.2222222222222222,0.2222222222222222,32
11,213,6,0.028169014084507043,7,0.03286384976525822,0.022014230208450704,0.11729539,0.0,0.0,0.0,33
12,213,9,0.04225352112676056,0,0.0,0.015593251111737089,0.07626978,0.0,0.0,0.0,34
26,213,3,0.014084507042253521,0,0.0,0.01256713336948357,0.081723906,0.0,0.0,0.0,35
34,213,3,0.014084507042253521,0,0.0,0.009460114609389673,0.06657806,0.0,0.0,0.0,36
