deployment_index,subdivision,year,month,source_months,existing_deployment_months,candidate_missing_months,reason
108,0,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
109,1,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
110,2,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
111,3,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
112,4,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
113,5,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
114,6,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
115,7,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
116,8,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
117,9,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
118,10,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
119,11,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
120,12,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
121,13,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
122,14,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
123,15,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
124,16,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
125,17,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
126,18,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
127,19,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
128,20,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
129,21,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
130,22,2000,0,,"1,2,3,4,5,6,7,8,9,10,11",,Unable to uniquely determine month
