subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal
Andaman & Nicobar Islands,1901,JAN,1901-01-01,49.2,-0.0695199457258535,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1901,FEB,1901-02-01,87.1,1.5584025546410458,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,MAR,1901-03-01,29.2,-0.0494701355074359,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1901,APR,1901-04-01,2.3,-1.058734160442866,DRY,1,1,0
Andaman & Nicobar Islands,1901,MAY,1901-05-01,528.8,1.1635329295758572,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,JUN,1901-06-01,517.5,0.3235244020038167,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,JUL,1901-07-01,365.1,-0.2268973033955047,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1901,AUG,1901-08-01,481.1,0.5911314717831372,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,SEP,1901-09-01,332.6,-0.7075814848438321,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1901,OCT,1901-10-01,388.5,0.9981610274434144,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,NOV,1901-11-01,558.2,2.7867964722858605,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1901,DEC,1901-12-01,33.6,-0.9439752180188506,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1902,JAN,1902-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1902,FEB,1902-02-01,159.8,3.465281756508871,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,MAR,1902-03-01,12.2,-0.40068180368855,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1902,APR,1902-04-01,0.0,-1.093712841342347,DRY,1,1,0
Andaman & Nicobar Islands,1902,MAY,1902-05-01,446.1,0.6104259353380778,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,JUN,1902-06-01,537.1,0.4572562572743849,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,JUL,1902-07-01,228.9,-1.137232957477091,DRY,1,1,0
Andaman & Nicobar Islands,1902,AUG,1902-08-01,753.7,2.54469606239196,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,SEP,1902-09-01,666.2,1.48246822315523,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,OCT,1902-10-01,197.2,-0.940184748796575,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1902,NOV,1902-11-01,359.0,1.0796596453155562,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1902,DEC,1902-12-01,160.5,0.023114335968376,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1903,JAN,1903-01-01,12.7,-0.5591780059038156,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1903,FEB,1903-02-01,144.0,3.050856840559605,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1903,MAR,1903-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1903,APR,1903-04-01,1.0,-1.0785047192121378,DRY,1,1,0
Andaman & Nicobar Islands,1903,MAY,1903-05-01,235.1,-0.8007660330315909,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1903,JUN,1903-06-01,479.9,0.0669775776072167,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1903,JUL,1903-07-01,728.4,2.201332822359563,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1903,AUG,1903-08-01,326.7,-0.5153629258324249,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1903,SEP,1903-09-01,339.0,-0.6655661427239462,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1903,OCT,1903-10-01,181.2,-1.1023046255338451,DRY,1,1,0
Andaman & Nicobar Islands,1903,NOV,1903-11-01,284.4,0.4403403316007735,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1903,DEC,1903-12-01,225.0,0.5146610359855244,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1904,JAN,1904-01-01,9.4,-0.6034484606596313,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1904,FEB,1904-02-01,14.7,-0.3406078197087547,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1904,MAR,1904-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
