memory_id,state_id,subdivision,year,month,season,previous_state_id,memory_window_months,available_history_months,historical_state_count,anomaly_persistence,deficit_persistence,rainfall_condition_persistence,consecutive_anomaly_direction,recurrence_count,months_since_similar_state,historical_similarity_count,similarity_score,memory_complete,history_sufficient,missing_history_count,memory_quality_status,source_state_id,source_dataset,source_artifact,memory_generation_version
andaman_nicobar_islands_1901_01_mem_andaman_nicobar_islands_1901_01,andaman_nicobar_islands_1901_01,Andaman & Nicobar Islands,1901,1,WINTER,,0,0,0,0.0,0.0,0.0,0,0,,0,0.0,False,False,36,INSUFFICIENT,andaman_nicobar_islands_1901_01,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_02_mem_andaman_nicobar_islands_1901_02,andaman_nicobar_islands_1901_02,Andaman & Nicobar Islands,1901,2,WINTER,andaman_nicobar_islands_1901_01,1,1,1,59.41428571428571,0.0,1.0,0,0,,0,0.5990947684885114,True,False,35,PARTIAL,andaman_nicobar_islands_1901_02,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_03_mem_andaman_nicobar_islands_1901_03,andaman_nicobar_islands_1901_03,Andaman & Nicobar Islands,1901,3,PRE_MONSOON,andaman_nicobar_islands_1901_02,2,2,2,-2.3945454545454545,2.3945454545454545,1.0,0,1,2.0,1,0.8855278423845907,True,False,34,PARTIAL,andaman_nicobar_islands_1901_03,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_04_mem_andaman_nicobar_islands_1901_04,andaman_nicobar_islands_1901_04,Andaman & Nicobar Islands,1901,4,PRE_MONSOON,andaman_nicobar_islands_1901_03,3,3,3,-69.61636363636364,69.61636363636364,1.0,-1,0,,0,0.5739232414524899,True,True,33,COMPLETE,andaman_nicobar_islands_1901_04,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_05_mem_andaman_nicobar_islands_1901_05,andaman_nicobar_islands_1901_05,Andaman & Nicobar Islands,1901,5,PRE_MONSOON,andaman_nicobar_islands_1901_04,4,4,4,173.97027027027025,0.0,1.0,0,0,,0,0.45981450159266785,True,True,32,COMPLETE,andaman_nicobar_islands_1901_05,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_06_mem_andaman_nicobar_islands_1901_06,andaman_nicobar_islands_1901_06,Andaman & Nicobar Islands,1901,6,MONSOON,andaman_nicobar_islands_1901_05,5,5,5,47.416363636363656,0.0,1.0,1,0,,0,0.42879830452304113,True,True,31,COMPLETE,andaman_nicobar_islands_1901_06,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_07_mem_andaman_nicobar_islands_1901_07,andaman_nicobar_islands_1901_07,Andaman & Nicobar Islands,1901,7,MONSOON,andaman_nicobar_islands_1901_06,6,6,6,-33.94727272727266,33.94727272727266,1.0,0,0,,0,0.5846836365826982,True,True,30,COMPLETE,andaman_nicobar_islands_1901_07,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_08_mem_andaman_nicobar_islands_1901_08,andaman_nicobar_islands_1901_08,Andaman & Nicobar Islands,1901,8,MONSOON,andaman_nicobar_islands_1901_07,7,7,7,82.48636363636365,0.0,1.0,0,0,,0,0.46108358562196433,True,True,29,COMPLETE,andaman_nicobar_islands_1901_08,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_09_mem_andaman_nicobar_islands_1901_09,andaman_nicobar_islands_1901_09,Andaman & Nicobar Islands,1901,9,MONSOON,andaman_nicobar_islands_1901_08,8,8,8,-107.78256880733936,107.78256880733936,1.0,0,0,,0,0.4292335644043121,True,True,28,COMPLETE,andaman_nicobar_islands_1901_09,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
andaman_nicobar_islands_1901_10_mem_andaman_nicobar_islands_1901_10,andaman_nicobar_islands_1901_10,Andaman & Nicobar Islands,1901,10,POST_MONSOON,andaman_nicobar_islands_1901_09,9,9,9,98.51090909090908,0.0,1.0,0,0,,0,0.632082330733794,True,True,27,COMPLETE,andaman_nicobar_islands_1901_10,C:\Users\subha\Downloads\bharat-earth\data\features\earth_state_v1\earth_state.csv,earth_state_v1/earth_state.csv,v1
