subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal,environmental_risk_score,environmental_risk_level
Andaman & Nicobar Islands,1901,JAN,1901-01-01,49.2,-0.0695199457258535,BELOW_NORMAL,0,0,0,1.7379986431463375,LOW
Andaman & Nicobar Islands,1901,FEB,1901-02-01,87.1,1.5584025546410458,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,MAR,1901-03-01,29.2,-0.0494701355074359,BELOW_NORMAL,0,0,0,1.2367533876858974,LOW
Andaman & Nicobar Islands,1901,APR,1901-04-01,2.3,-1.058734160442866,DRY,1,1,0,31.46835401107165,MODERATE
Andaman & Nicobar Islands,1901,MAY,1901-05-01,528.8,1.1635329295758572,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,JUN,1901-06-01,517.5,0.3235244020038167,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,JUL,1901-07-01,365.1,-0.2268973033955047,BELOW_NORMAL,0,0,0,5.672432584887618,LOW
Andaman & Nicobar Islands,1901,AUG,1901-08-01,481.1,0.5911314717831372,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,SEP,1901-09-01,332.6,-0.7075814848438321,BELOW_NORMAL,0,0,0,17.689537121095803,LOW
Andaman & Nicobar Islands,1901,OCT,1901-10-01,388.5,0.9981610274434144,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,NOV,1901-11-01,558.2,2.7867964722858605,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1901,DEC,1901-12-01,33.6,-0.9439752180188506,BELOW_NORMAL,0,0,0,23.599380450471266,MODERATE
Andaman & Nicobar Islands,1902,JAN,1902-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0,18.238804506677663,LOW
Andaman & Nicobar Islands,1902,FEB,1902-02-01,159.8,3.465281756508871,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,MAR,1902-03-01,12.2,-0.40068180368855,BELOW_NORMAL,0,0,0,10.017045092213749,LOW
