subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Tamil Nadu,2003,8.0,2,49.3,110.49999999999991,165.39999999999998,355.1,96.08205128205128,-46.782051282051285,-48.68968830059778,46.782051282051285,0,-1.2524728957310407,1,2003-08-01,38.7,22.5,19.8,80.99999999999993,120.19999999999996,332.29999999999995,18.9,-0.8660254037844385,-0.5000000000000004,1,AUG,1,0.08817743,0,FALSE_NEGATIVE
Tamil Nadu,2002,8.0,2,26.5,61.99999999999993,107.69999999999996,335.90000000000003,96.08205128205128,-69.58205128205128,-72.41940649017934,69.58205128205128,0,-1.862886104217772,1,2002-08-01,11.8,23.7,32.6,68.09999999999994,103.29999999999995,328.1,-20.8,-0.8660254037844385,-0.5000000000000004,1,AUG,1,0.08455546,0,FALSE_NEGATIVE
West Rajasthan,2002,4.0,1,1.4,4.999999999999972,5.300000000000227,279.4000000000001,3.5418803418803417,-2.141880341880342,-60.47297297297297,2.141880341880342,0,-0.3647032756828505,0,2002-04-01,1.0,2.6,0.3,3.899999999999972,11.200000000000228,287.50000000000006,0.7,0.8660254037844387,-0.4999999999999998,1,APR,1,0.07697154,0,FALSE_NEGATIVE
North Interior Karnataka,2003,2.0,0,1.5,1.7999999999998435,183.79999999999984,520.5,3.1213675213675214,-1.6213675213675214,-51.94414019715224,1.6213675213675214,0,-0.2947119421172121,0,2003-02-01,0.3,0.0,3.4,3.6999999999998434,300.49999999999983,526.9,-3.1,0.8660254037844386,0.5000000000000001,1,FEB,1,0.06497328,0,FALSE_NEGATIVE
Tamil Nadu,2004,3.0,1,3.0,6.499999999999943,159.09999999999997,332.6,19.47179487179487,-16.47179487179487,-84.59309981564392,16.47179487179487,0,-0.7387372281537221,0,2004-03-01,0.7,2.8,7.1,10.599999999999945,182.2,347.6,-6.4,1.0,6.123233995736766e-17,1,MAR,1,0.060729727,0,FALSE_NEGATIVE
Gujarat Region,2002,4.0,1,0.0,0.1000000000002273,4.399999999999772,846.8999999999996,1.0974358974358975,-1.0974358974358975,-100.0,1.0974358974358975,0,-0.2779302288792669,0,2002-04-01,0.1,0.0,4.1,4.200000000000227,33.29999999999978,847.0999999999997,-4.0,0.8660254037844387,-0.4999999999999998,1,APR,1,0.05457025,0,FALSE_NEGATIVE
Himachal Pradesh,2006,11.0,3,26.9,137.19999999999982,776.5000000000002,1171.7,16.46923076923077,10.43076923076923,63.334890238206434,0.0,0,0.4510324563757956,0,2006-11-01,17.5,92.8,274.2,384.49999999999983,818.0000000000002,1145.1,-256.7,-0.5000000000000004,0.8660254037844384,1,NOV,1,0.047421705,0,FALSE_NEGATIVE
Arunachal Pradesh,2009,11.0,3,33.9,269.30000000000086,1228.599999999999,1736.7,35.149484536082475,-1.249484536082477,-3.554773427188745,1.249484536082477,0,-0.0356250985759798,0,2009-11-01,82.9,152.5,370.3,605.700000000001,1384.5999999999992,1704.5,-287.4,-0.5000000000000004,0.8660254037844384,1,NOV,1,0.04392895,0,FALSE_NEGATIVE
Saurashtra & Kutch,2002,4.0,1,0.0,0.0,0.0,510.0,1.1632478632478631,-1.1632478632478631,-100.0,1.1632478632478631,0,-0.1904632649251258,0,2002-04-01,0.0,0.0,0.0,0.0,7.600000000000227,510.19999999999993,0.0,0.8660254037844387,-0.4999999999999998,1,APR,1,0.03790252,0,FALSE_NEGATIVE
Tamil Nadu,2003,2.0,0,4.1,16.599999999999927,189.7,297.40000000000003,13.209401709401709,-9.109401709401707,-68.96150113231964,9.109401709401707,0,-0.4695459284030574,1,2003-02-01,0.3,12.2,47.2,59.69999999999993,212.1,315.4,-46.900000000000006,0.8660254037844386,0.5000000000000001,1,FEB,1,0.033382416,0,FALSE_NEGATIVE
Himachal Pradesh,2006,10.0,3,17.5,384.49999999999983,818.0000000000002,1145.1,30.791452991452992,-13.291452991452992,-43.16604674401821,13.291452991452992,0,-0.2669145018952558,0,2006-10-01,92.8,274.2,260.3,627.2999999999997,844.8000000000002,1129.4,-167.5,-0.8660254037844386,0.5000000000000001,1,OCT,1,0.022541882,0,FALSE_NEGATIVE
