subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Assam & Meghalaya,2013,2.0,0,9.6,12.999999999999886,641.0999999999995,2598.0000000000005,31.363247863247864,-21.763247863247862,-69.39092519416815,21.763247863247862,0,-1.044291746720318,0,2013-02-01,1.1,2.3,17.1,20.499999999999886,920.6999999999994,2595.3000000000006,-16.0,0.8660254037844386,0.5000000000000001,0,FEB,0,0.80361676,1,FALSE_POSITIVE
Assam & Meghalaya,2009,2.0,0,11.6,21.09999999999977,424.19999999999953,2314.9,31.363247863247864,-19.763247863247862,-63.01403460961984,19.763247863247862,0,-0.9483233734993484,0,2009-02-01,7.9,1.6,2.2,11.699999999999774,921.1999999999996,2317.8,5.7,0.8660254037844386,0.5000000000000001,0,FEB,0,0.7994992,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2004,3.0,1,11.0,18.500000000000227,239.6,2087.5,77.44273504273504,-66.44273504273504,-85.79595620695744,66.44273504273504,0,-1.1014295071455746,0,2004-03-01,2.7,4.8,40.9,48.40000000000023,516.9999999999999,2154.5,-38.2,1.0,6.123233995736766e-17,0,MAR,0,0.79919773,1,FALSE_POSITIVE
Arunachal Pradesh,2009,1.0,0,18.0,22.300000000000853,766.3999999999991,2185.8,46.71632653061224,-28.716326530612243,-61.46957319470534,28.716326530612243,0,-0.8402372192356607,0,2009-01-01,2.6,1.7,115.1,119.40000000000084,1204.499999999999,2244.5,-112.5,0.4999999999999999,0.8660254037844387,0,JAN,0,0.7986448,1,FALSE_POSITIVE
Assam & Meghalaya,2015,3.0,1,37.5,66.39999999999989,104.79999999999944,2213.0,79.22136752136751,-41.72136752136751,-52.664285945473566,41.72136752136751,0,-0.8619466125981784,0,2015-03-01,15.5,13.4,0.4,29.299999999999887,487.4999999999994,2204.8,15.1,1.0,6.123233995736766e-17,0,MAR,0,0.7920074,1,FALSE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2017,2.0,0,5.1,8.40000000000125,658.300000000001,2605.1,22.68632478632479,-17.586324786324788,-77.51949666578759,17.586324786324788,0,-0.9000831544108666,0,2017-02-01,3.0,0.3,0.0,3.3000000000012504,863.1000000000009,2607.1,3.0,0.8660254037844386,0.5000000000000001,0,FEB,0,0.77378166,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2003,2.0,0,11.5,21.300000000000228,417.80000000000007,2235.2000000000003,36.41367521367521,-24.91367521367521,-68.41845836071731,24.91367521367521,0,-0.6639994903940599,0,2003-02-01,3.8,6.0,71.9,81.70000000000023,764.6999999999999,2227.6000000000004,-68.10000000000001,0.8660254037844386,0.5000000000000001,0,FEB,0,0.7542511,1,FALSE_POSITIVE
Assam & Meghalaya,2015,2.0,0,15.5,29.299999999999887,487.4999999999994,2204.8,31.363247863247864,-15.863247863247864,-50.579097969750656,15.863247863247864,0,-0.7611850457184581,0,2015-02-01,13.4,0.4,3.0,16.799999999999887,956.5999999999996,2217.6000000000004,10.4,0.8660254037844386,0.5000000000000001,0,FEB,0,0.7525559,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2001,3.0,1,38.8,87.20000000000022,297.7000000000001,2273.4,77.44273504273504,-38.64273504273504,-49.89846371181353,38.64273504273504,0,-0.6405854392583513,0,2001-03-01,46.9,1.5,1.1,49.50000000000023,557.2000000000002,2363.7000000000003,45.8,1.0,6.123233995736766e-17,0,MAR,0,0.75112677,1,FALSE_POSITIVE
Assam & Meghalaya,2002,2.0,0,5.7,28.2,516.8999999999995,2159.3,31.363247863247864,-25.663247863247864,-81.82586183403734,25.663247863247864,0,-1.2314300745012083,0,2002-02-01,20.2,2.3,20.5,43.0,806.7999999999996,2193.3,-0.3000000000000007,0.8660254037844386,0.5000000000000001,0,FEB,0,0.74417216,1,FALSE_POSITIVE
