month,observations,events,event_rate,alerts,alert_rate,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,false_negative_rate
1.0,648,9,0.013888888888888888,238,0.36728395061728397,9,229,0,410,0.037815126050420166,1.0,0.0728744939271255,0.35837245696400627,0.0
2.0,648,12,0.018518518518518517,349,0.5385802469135802,10,339,2,297,0.02865329512893983,0.8333333333333334,0.055401662049861494,0.5330188679245284,0.16666666666666666
3.0,648,30,0.046296296296296294,541,0.8348765432098766,29,512,1,106,0.053604436229205174,0.9666666666666667,0.10157618213660245,0.8284789644012945,0.03333333333333333
4.0,648,78,0.12037037037037036,605,0.933641975308642,75,530,3,40,0.12396694214876033,0.9615384615384616,0.21961932650073207,0.9298245614035088,0.038461538461538464
5.0,648,103,0.15895061728395063,640,0.9876543209876543,103,537,0,8,0.1609375,1.0,0.2772543741588156,0.9853211009174312,0.0
6.0,648,95,0.14660493827160495,641,0.9891975308641975,95,546,0,7,0.1482059282371295,1.0,0.25815217391304346,0.9873417721518988,0.0
7.0,648,55,0.08487654320987655,632,0.9753086419753086,55,577,0,16,0.08702531645569621,1.0,0.16011644832605532,0.9730185497470489,0.0
8.0,648,25,0.038580246913580245,608,0.9382716049382716,23,585,2,38,0.03782894736842105,0.92,0.07266982622432859,0.9390048154093098,0.08
9.0,648,9,0.013888888888888888,384,0.5925925925925926,9,375,0,264,0.0234375,1.0,0.04580152671755725,0.5868544600938967,0.0
10.0,612,2,0.0032679738562091504,67,0.10947712418300654,1,66,1,544,0.014925373134328358,0.5,0.028985507246376812,0.10819672131147541,0.5
11.0,612,2,0.0032679738562091504,59,0.09640522875816994,0,59,2,551,0.0,0.0,0.0,0.09672131147540984,1.0
12.0,612,4,0.006535947712418301,83,0.13562091503267973,4,79,0,529,0.04819277108433735,1.0,0.09195402298850575,0.1299342105263158,0.0
