probability_bin,observations,events,actual_event_rate,alerts,alert_rate,average_probability,false_positives,false_negatives
0.00-0.02,699,0,0.0,0,0.0,0.013569731,0,0
0.02-0.04,828,3,0.0036231884057971015,0,0.0,0.029558895,0,3
0.04-0.06,632,3,0.004746835443037975,0,0.0,0.049525436,0,3
0.06-0.08,463,3,0.0064794816414686825,0,0.0,0.069403104,0,3
0.08-0.09,199,2,0.010050251256281407,0,0.0,0.08491062,0,2
0.09-0.10,151,2,0.013245033112582781,151,1.0,0.094693996,149,0
0.10-0.12,242,4,0.01652892561983471,242,1.0,0.110064596,238,0
0.12-0.15,289,11,0.03806228373702422,289,1.0,0.13447967,278,0
0.15-0.20,374,11,0.029411764705882353,374,1.0,0.17507441,363,0
0.20-0.30,780,49,0.06282051282051282,780,1.0,0.25353512,731,0
0.30-0.50,1702,165,0.09694477085781433,1702,1.0,0.40208095,1537,0
0.50-0.70,1267,169,0.13338595106550907,1267,1.0,0.5687712,1098,0
0.70+,42,2,0.047619047619047616,42,1.0,0.73583466,40,0
