subdivision,observations,events,event_rate,alerts,alert_rate,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,false_negative_rate
Andaman & Nicobar Islands,213,3,0.014084507042253521,184,0.863849765258216,3,181,0,29,0.016304347826086956,1.0,0.03208556149732621,0.861904761904762,0.0
Arunachal Pradesh,213,6,0.028169014084507043,181,0.8497652582159625,5,176,1,31,0.027624309392265192,0.8333333333333334,0.053475935828877004,0.8502415458937198,0.16666666666666666
Assam & Meghalaya,213,35,0.1643192488262911,173,0.812206572769953,35,138,0,40,0.2023121387283237,1.0,0.33653846153846156,0.7752808988764045,0.0
Bihar,213,9,0.04225352112676056,137,0.6431924882629108,9,128,0,76,0.06569343065693431,1.0,0.1232876712328767,0.6274509803921569,0.0
Chhattisgarh,213,15,0.07042253521126761,133,0.6244131455399061,15,118,0,80,0.11278195488721804,1.0,0.20270270270270271,0.5959595959595959,0.0
Coastal Andhra Pradesh,213,8,0.03755868544600939,134,0.6291079812206573,8,126,0,79,0.05970149253731343,1.0,0.11267605633802817,0.6146341463414634,0.0
Coastal Karnataka,213,9,0.04225352112676056,133,0.6244131455399061,9,124,0,80,0.06766917293233082,1.0,0.1267605633802817,0.6078431372549019,0.0
East Madhya Pradesh,213,16,0.07511737089201878,131,0.6150234741784038,16,115,0,82,0.12213740458015267,1.0,0.21768707482993196,0.583756345177665,0.0
East Rajasthan,213,3,0.014084507042253521,91,0.4272300469483568,3,88,0,122,0.03296703296703297,1.0,0.06382978723404255,0.41904761904761906,0.0
East Uttar Pradesh,213,16,0.07511737089201878,123,0.5774647887323944,16,107,0,90,0.13008130081300814,1.0,0.2302158273381295,0.5431472081218274,0.0
Gangetic West Bengal,213,6,0.028169014084507043,149,0.6995305164319249,6,143,0,64,0.040268456375838924,1.0,0.07741935483870968,0.6908212560386473,0.0
Gujarat Region,213,6,0.028169014084507043,77,0.3615023474178404,5,72,1,135,0.06493506493506493,0.8333333333333334,0.12048192771084337,0.34782608695652173,0.16666666666666666
Haryana Delhi & Chandigarh,213,9,0.04225352112676056,84,0.39436619718309857,9,75,0,129,0.10714285714285714,1.0,0.1935483870967742,0.36764705882352944,0.0
Himachal Pradesh,213,12,0.056338028169014086,185,0.8685446009389671,10,175,2,26,0.05405405405405406,0.8333333333333334,0.10152284263959391,0.8706467661691543,0.16666666666666666
Jammu & Kashmir,213,9,0.04225352112676056,201,0.9436619718309859,9,192,0,12,0.04477611940298507,1.0,0.08571428571428572,0.9411764705882353,0.0
Jharkhand,213,22,0.10328638497652583,136,0.6384976525821596,22,114,0,77,0.16176470588235295,1.0,0.27848101265822783,0.5968586387434555,0.0
Kerala,213,12,0.056338028169014086,183,0.8591549295774648,12,171,0,30,0.06557377049180328,1.0,0.12307692307692308,0.8507462686567164,0.0
Konkan & Goa,213,14,0.06572769953051644,138,0.647887323943662,14,124,0,75,0.10144927536231885,1.0,0.18421052631578946,0.6231155778894473,0.0
Lakshadweep,213,9,0.04225352112676056,167,0.784037558685446,9,158,0,46,0.05389221556886228,1.0,0.10227272727272728,0.7745098039215687,0.0
Madhya Maharashtra,213,10,0.046948356807511735,116,0.5446009389671361,10,106,0,97,0.08620689655172414,1.0,0.15873015873015872,0.5221674876847291,0.0
Matathwada,213,12,0.056338028169014086,120,0.5633802816901409,12,108,0,93,0.1,1.0,0.18181818181818182,0.5373134328358209,0.0
Naga Mani Mizo Tripura,213,13,0.06103286384976526,168,0.7887323943661971,13,155,0,45,0.07738095238095238,1.0,0.143646408839779,0.775,0.0
North Interior Karnataka,213,17,0.07981220657276995,135,0.6338028169014085,16,119,1,77,0.11851851851851852,0.9411764705882353,0.21052631578947367,0.6071428571428571,0.058823529411764705
Orissa,213,18,0.08450704225352113,139,0.6525821596244131,18,121,0,74,0.12949640287769784,1.0,0.22929936305732485,0.6205128205128205,0.0
Punjab,213,9,0.04225352112676056,93,0.43661971830985913,9,84,0,120,0.0967741935483871,1.0,0.17647058823529413,0.4117647058823529,0.0
Rayalseema,213,6,0.028169014084507043,131,0.6150234741784038,6,125,0,82,0.04580152671755725,1.0,0.08759124087591241,0.6038647342995169,0.0
Saurashtra & Kutch,213,3,0.014084507042253521,54,0.2535211267605634,2,52,1,158,0.037037037037037035,0.6666666666666666,0.07017543859649122,0.24761904761904763,0.3333333333333333
South Interior Karnataka,213,20,0.09389671361502347,145,0.6807511737089202,20,125,0,68,0.13793103448275862,1.0,0.24242424242424243,0.6476683937823834,0.0
Sub Himalayan West Bengal & Sikkim,213,18,0.08450704225352113,162,0.7605633802816901,18,144,0,51,0.1111111111111111,1.0,0.2,0.7384615384615385,0.0
Tamil Nadu,213,28,0.13145539906103287,151,0.7089201877934272,24,127,4,58,0.15894039735099338,0.8571428571428571,0.2681564245810056,0.6864864864864865,0.14285714285714285
Telangana,213,5,0.023474178403755867,126,0.5915492957746479,5,121,0,87,0.03968253968253968,1.0,0.07633587786259542,0.5817307692307693,0.0
Uttarakhand,213,7,0.03286384976525822,161,0.755868544600939,7,154,0,52,0.043478260869565216,1.0,0.08333333333333333,0.7475728155339806,0.0
Vidarbha,213,12,0.056338028169014086,126,0.5915492957746479,12,114,0,87,0.09523809523809523,1.0,0.17391304347826086,0.5671641791044776,0.0
West Madhya Pradesh,213,9,0.04225352112676056,105,0.49295774647887325,9,96,0,108,0.08571428571428572,1.0,0.15789473684210525,0.47058823529411764,0.0
West Rajasthan,213,3,0.014084507042253521,62,0.29107981220657275,2,60,1,150,0.03225806451612903,0.6666666666666666,0.06153846153846154,0.2857142857142857,0.3333333333333333
West Uttar Pradesh,213,15,0.07042253521126761,113,0.5305164319248826,15,98,0,100,0.13274336283185842,1.0,0.234375,0.494949494949495,0.0
