threshold,precision,recall,f1,alert_rate,true_positive,false_positive,false_negative,true_negative
0.02,0.06084086669536519,1.0,0.11470309752468551,0.9088419405320813,424,6545,0,699
0.04,0.06855560983553168,0.9929245283018868,0.12825590251332825,0.8008607198748043,421,5720,3,1524
0.06,0.07587583953530587,0.9858490566037735,0.1409067925164335,0.7184402712571727,418,5091,6,2153
0.08,0.08224336107808165,0.9787735849056604,0.15173674588665448,0.6580594679186228,415,4631,9,2613
0.09,0.08520734474932948,0.9740566037735849,0.15670650730411687,0.6321074595722483,413,4434,11,2810
0.1,0.08752129471890971,0.9693396226415094,0.160546875,0.612415232133542,411,4285,13,2959
0.12,0.09137853614728333,0.9599056603773585,0.16687166871668715,0.5808555033907147,407,4047,17,3197
0.15,0.095078031212485,0.9339622641509434,0.17258662017868817,0.5431664058424622,396,3769,28,3475
0.2,0.1015563175943023,0.9080188679245284,0.1826809015421115,0.4943922796035472,385,3406,39,3838
0.25,0.10691458454386985,0.8679245283018868,0.19037765131919296,0.44887845592070946,368,3074,56,4170
0.3,0.11159083361009631,0.7924528301886793,0.19563318777292577,0.39267083985393847,336,2675,88,4569
0.4,0.12294332723948811,0.6344339622641509,0.20597243491577336,0.2853416797078769,269,1919,155,5325
0.5,0.1306340718105424,0.4033018867924528,0.19734564339296018,0.1707094418362024,171,1138,253,6106
0.6,0.11538461538461539,0.09905660377358491,0.1065989847715736,0.04747000521648409,42,322,382,6922
0.7,0.047619047619047616,0.0047169811320754715,0.008583690987124463,0.005477308294209703,2,40,422,7204
0.8,0.5,0.0023584905660377358,0.004694835680751174,0.0002608242044861763,1,1,423,7243
