subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
East Rajasthan,2000,6.0,2,20.2,43.50000000000006,44.79999999999997,386.90000000000015,63.61111111111112,-43.41111111111111,-68.24454148471617,43.41111111111111,0,-1.0165758048829183,0,2000-06-01,21.0,2.3,0.4,23.700000000000056,24.69999999999997,420.10000000000014,20.6,1.2246467991473532e-16,-1.0,0,JUN,0,0.08998163,0,TRUE_NEGATIVE
Jharkhand,2003,9.0,2,224.0,716.5999999999999,908.4000000000002,1032.9,227.1367521367521,-3.1367521367521363,-1.380997177798683,3.1367521367521363,0,-0.0428107621415897,0,2003-09-01,245.1,247.5,152.4,645.0,718.0000000000002,1062.3,92.7,-1.0,-1.8369701987210294e-16,0,SEP,0,0.08992405,0,TRUE_NEGATIVE
Himachal Pradesh,2000,9.0,2,50.1,441.8999999999998,745.4000000000002,1088.5,129.36239316239315,-79.26239316239315,-61.27158846148764,79.26239316239315,0,-0.9165699831031964,0,2000-09-01,126.7,265.1,198.0,589.7999999999998,763.4000000000002,1149.8000000000002,-71.3,-1.0,-1.8369701987210294e-16,0,SEP,0,0.0899186,0,TRUE_NEGATIVE
Bihar,2016,1.0,0,9.3,9.3000000000004,408.39999999999947,869.1999999999999,13.242735042735044,-3.942735042735043,-29.77281528333549,3.942735042735043,0,-0.2679342907817017,0,2016-01-01,0.0,0.0,10.4,10.400000000000398,630.5999999999995,872.7,-10.4,0.4999999999999999,0.8660254037844387,0,JAN,0,0.08967633,0,TRUE_NEGATIVE
Chhattisgarh,2005,2.0,0,15.6,73.30000000000057,244.3999999999997,1163.4,18.966666666666665,-3.3666666666666654,-17.750439367311067,3.3666666666666654,0,-0.1467133299073371,0,2005-02-01,57.6,0.1,0.7,58.40000000000057,580.4999999999998,1164.4999999999998,56.9,0.8660254037844386,0.5000000000000001,0,FEB,0,0.08961464,0,TRUE_NEGATIVE
Jharkhand,2011,9.0,2,324.6,909.6,1339.0000000000002,1431.0,227.1367521367521,97.46324786324789,42.90950141110067,0.0,0,1.3301898715340066,0,2011-09-01,403.2,181.8,349.0,933.9999999999998,1020.8000000000002,1266.9,54.19999999999999,-1.0,-1.8369701987210294e-16,0,SEP,0,0.08946783,0,TRUE_NEGATIVE
Arunachal Pradesh,2003,10.0,3,182.6,769.7000000000006,2012.799999999999,2473.4,194.79381443298968,-12.193814432989685,-6.259857105054244,12.193814432989685,0,-0.0842226407491484,0,2003-10-01,259.9,327.2,645.3,1232.4000000000003,2012.1999999999991,2384.8,-385.4,-0.8660254037844386,0.5000000000000001,0,OCT,0,0.089407966,0,TRUE_NEGATIVE
Bihar,2000,1.0,0,0.5,8.000000000000341,669.1999999999997,1403.1,13.242735042735044,-12.742735042735044,-96.2243449077062,12.742735042735044,0,-0.8659510819996513,0,2000-01-01,0.6,6.9,114.1,121.60000000000034,1049.4999999999998,1402.7,-113.5,0.4999999999999999,0.8660254037844387,0,JAN,0,0.08931255,0,TRUE_NEGATIVE
Himachal Pradesh,2014,10.0,3,19.3,250.59999999999985,574.8000000000003,996.5,30.791452991452992,-11.491452991452991,-37.32026869483151,11.491452991452991,0,-0.2307675054968628,0,2014-10-01,84.6,146.7,203.6,434.8999999999999,616.1000000000001,999.0,-119.0,-0.8660254037844386,0.5000000000000001,0,OCT,0,0.08928207,0,TRUE_NEGATIVE
Bihar,2005,1.0,0,13.9,17.000000000000398,364.5999999999997,1138.8,13.242735042735044,0.6572649572649567,4.96321156576739,0.0,0,0.0446653955367718,0,2005-01-01,0.0,3.1,56.4,59.5000000000004,769.0999999999997,1147.6,-56.4,0.4999999999999999,0.8660254037844387,0,JAN,0,0.089235924,0,TRUE_NEGATIVE
