subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Assam & Meghalaya,2009,3.0,1,44.9,64.39999999999978,201.5999999999996,2252.3,79.22136752136751,-34.32136752136751,-43.32337170538035,34.32136752136751,0,-0.7090655995307177,0,2009-03-01,11.6,7.9,1.6,21.09999999999977,424.19999999999953,2314.9,10.0,1.0,6.123233995736766e-17,1,MAR,1,0.8157835,1,TRUE_POSITIVE
Naga Mani Mizo Tripura,2005,3.0,1,118.6,140.00000000000023,279.6,2475.2,77.44273504273504,41.15726495726496,53.14541762316794,0.0,0,0.6822691153243974,0,2005-03-01,15.0,6.4,0.5,21.900000000000222,512.0,2367.6,14.5,1.0,6.123233995736766e-17,1,MAR,1,0.70118976,1,TRUE_POSITIVE
Naga Mani Mizo Tripura,2003,4.0,1,158.9,248.40000000000023,330.1,2265.6,171.34444444444443,-12.444444444444429,-7.262823422605528,12.444444444444429,0,-0.1583776194976012,0,2003-04-01,78.0,11.5,3.8,93.30000000000022,270.1000000000001,2250.5,74.2,0.8660254037844387,-0.4999999999999998,1,APR,1,0.6980849,1,TRUE_POSITIVE
Naga Mani Mizo Tripura,2013,3.0,1,19.7,25.60000000000017,218.9,1893.6,77.44273504273504,-57.74273504273504,-74.56184884336923,57.74273504273504,0,-0.9572085218715156,0,2013-03-01,5.7,0.2,0.4,6.30000000000017,447.9,1894.2,5.3,1.0,6.123233995736766e-17,1,MAR,1,0.6931628,1,TRUE_POSITIVE
Assam & Meghalaya,2013,3.0,1,44.0,54.69999999999989,273.49999999999943,2613.2000000000003,79.22136752136751,-35.22136752136751,-44.459428842688986,35.22136752136751,0,-0.7276592362551385,1,2013-03-01,9.6,1.1,2.3,12.999999999999886,641.0999999999995,2598.0000000000005,7.3,1.0,6.123233995736766e-17,1,MAR,1,0.6812946,1,TRUE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2014,5.0,1,308.6,394.2000000000014,423.70000000000095,2357.2000000000003,268.4786324786325,40.12136752136752,14.94397045715013,0.0,0,0.5783414203382959,0,2014-05-01,47.9,37.7,26.6,112.20000000000137,131.2000000000009,2345.1000000000004,21.3,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.6792636,1,TRUE_POSITIVE
Coastal Karnataka,2009,5.0,1,100.7,160.39999999999944,174.30000000000047,3093.3,122.5974358974359,-21.89743589743589,-17.86125112417125,21.89743589743589,0,-0.1761136614799058,0,2009-05-01,24.5,35.2,0.0,59.69999999999944,92.90000000000046,3056.9,24.5,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.67325926,1,TRUE_POSITIVE
Coastal Karnataka,2002,5.0,1,164.0,195.39999999999955,207.80000000000024,3089.2,122.5974358974359,41.4025641025641,33.77115010561981,0.0,0,0.3329868023320889,0,2002-05-01,30.9,0.5,11.2,42.59999999999954,92.40000000000023,3082.1,19.7,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.6701898,1,TRUE_POSITIVE
Kerala,2002,5.0,1,330.8,483.7999999999996,507.30000000000047,2899.8,229.98376068376064,100.81623931623936,43.83624261839373,0.0,0,0.6811404718439633,0,2002-05-01,117.3,35.7,8.7,161.69999999999953,357.50000000000045,2807.6000000000004,108.6,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.6678151,1,TRUE_POSITIVE
Konkan & Goa,2002,5.0,1,9.4,12.300000000000455,12.300000000000228,2339.699999999999,33.36239316239316,-23.962393162393163,-71.82456320131168,23.962393162393163,0,-0.4137931456704194,0,2002-05-01,2.8,0.1,0.0,2.9000000000004547,6.000000000000227,2389.8999999999987,2.8,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.66203576,1,TRUE_POSITIVE
