year,observations,events,event_rate,alerts,alert_rate,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,false_negative_rate
2000,432,24,0.05555555555555555,274,0.6342592592592593,24,250,0,158,0.08759124087591241,1.0,0.1610738255033557,0.6127450980392157,0.0
2001,432,23,0.05324074074074074,272,0.6296296296296297,23,249,0,160,0.08455882352941177,1.0,0.15593220338983052,0.60880195599022,0.0
2002,432,92,0.21296296296296297,271,0.6273148148148148,88,183,4,157,0.3247232472324723,0.9565217391304348,0.48484848484848486,0.538235294117647,0.043478260869565216
2003,432,23,0.05324074074074074,263,0.6087962962962963,20,243,3,166,0.07604562737642585,0.8695652173913043,0.13986013986013987,0.5941320293398533,0.13043478260869565
2004,432,23,0.05324074074074074,268,0.6203703703703703,22,246,1,163,0.08208955223880597,0.9565217391304348,0.15120274914089346,0.6014669926650367,0.043478260869565216
2005,432,21,0.04861111111111111,272,0.6296296296296297,21,251,0,160,0.07720588235294118,1.0,0.14334470989761092,0.610705596107056,0.0
2006,432,19,0.04398148148148148,268,0.6203703703703703,17,251,2,162,0.06343283582089553,0.8947368421052632,0.11846689895470383,0.6077481840193705,0.10526315789473684
2007,432,8,0.018518518518518517,281,0.6504629629629629,8,273,0,151,0.028469750889679714,1.0,0.05536332179930796,0.6438679245283019,0.0
2008,432,2,0.004629629629629629,265,0.6134259259259259,2,263,0,167,0.007547169811320755,1.0,0.0149812734082397,0.6116279069767442,0.0
2009,432,44,0.10185185185185185,277,0.6412037037037037,43,234,1,154,0.1552346570397112,0.9772727272727273,0.26791277258566976,0.6030927835051546,0.022727272727272728
2010,432,8,0.018518518518518517,256,0.5925925925925926,8,248,0,176,0.03125,1.0,0.06060606060606061,0.5849056603773585,0.0
2011,432,17,0.03935185185185185,274,0.6342592592592593,17,257,0,158,0.06204379562043796,1.0,0.11683848797250859,0.619277108433735,0.0
2012,432,0,0.0,268,0.6203703703703703,0,268,0,164,0.0,0.0,0.0,0.6203703703703703,0.0
2013,432,7,0.016203703703703703,266,0.6157407407407407,7,259,0,166,0.02631578947368421,1.0,0.05128205128205128,0.6094117647058823,0.0
2014,432,45,0.10416666666666667,281,0.6504629629629629,45,236,0,151,0.1601423487544484,1.0,0.27607361963190186,0.6098191214470284,0.0
2015,432,37,0.08564814814814815,265,0.6134259259259259,37,228,0,167,0.13962264150943396,1.0,0.24503311258278146,0.5772151898734177,0.0
2016,432,28,0.06481481481481481,265,0.6134259259259259,28,237,0,167,0.10566037735849057,1.0,0.19112627986348124,0.5866336633663366,0.0
2017,324,3,0.009259259259259259,261,0.8055555555555556,3,258,0,63,0.011494252873563218,1.0,0.022727272727272728,0.8037383177570093,0.0
