feature,xgboost_importance,importance_mean,importance_std,mean_abs_shap
month_cos,0.3246485,0.03818317469177161,0.002755385874238432,0.847606
season,0.13056664,-0.002133378065669489,0.00485430005098324,0.12707373
month_sin,0.0858887,0.004645227315796549,0.0012400463527056668,0.09378249
rainfall_prev_12m,0.039136898,-0.01628332402257756,0.004401907878978187,0.29585654
rainfall_12m,0.03649528,-0.007109152837458088,0.0056128928844094966,0.23478732
historical_monthly_mean,0.034395866,-0.0010730966684264903,0.004129680142117129,0.20773013
rainfall_prev_6m,0.031916786,0.010518843121645818,0.0027409851320437523,0.13971205
year,0.031705383,0.0,0.0,0.38067624
rainfall_prev_3m,0.03142475,0.0026431359759565677,0.002184914076621536,0.076118745
rainfall_lag_2m,0.028400848,-0.006088808446408839,0.0032534887003089785,0.05029443
rainfall_3m,0.027853362,-0.0005121037429646925,0.0013867819220387979,0.0529854
rainfall_6m,0.026130958,-0.0015159675001314265,0.001543644941649723,0.039114736
rainfall_lag_3m,0.023976699,-0.004230138753412943,0.003571991254096683,0.05058661
rainfall_zscore,0.021865068,0.0016299935219283607,0.003131669497690747,0.08383224
rainfall_trend_3m,0.021160753,-0.005517513302678173,0.0022505143621228516,0.03092125
rainfall_anomaly,0.020862712,-0.0012912682777827089,0.0018472125474262222,0.024976024
rainfall_lag_1m,0.020540087,-0.0026408280848455755,0.0015317028572493106,0.036334585
rainfall_deficit_mm,0.018384825,0.0006502150092117076,0.00034444058952022637,0.009250208
rainfall_mm,0.017875982,0.0013733052099381721,0.0019695684806685728,0.03661541
rainfall_anomaly_pct,0.017196182,0.0007620235025663308,0.002808862589260403,0.04210957
rainfall_missing,0.009573744,0.0,0.0,5.8869555e-05
month,0.0,0.0,0.0,0.0
