feature,importance_mean,importance_std,rank
month_cos,0.03818317469177161,0.002755385874238432,1
rainfall_prev_6m,0.010518843121645818,0.0027409851320437523,2
month_sin,0.004645227315796549,0.0012400463527056668,3
rainfall_prev_3m,0.0026431359759565677,0.002184914076621536,4
rainfall_zscore,0.0016299935219283607,0.003131669497690747,5
rainfall_mm,0.0013733052099381721,0.0019695684806685728,6
rainfall_anomaly_pct,0.0007620235025663308,0.002808862589260403,7
rainfall_deficit_mm,0.0006502150092117076,0.00034444058952022637,8
year,0.0,0.0,9
month,0.0,0.0,10
rainfall_missing,0.0,0.0,11
rainfall_3m,-0.0005121037429646925,0.0013867819220387979,12
historical_monthly_mean,-0.0010730966684264903,0.004129680142117129,13
rainfall_anomaly,-0.0012912682777827089,0.0018472125474262222,14
rainfall_6m,-0.0015159675001314265,0.001543644941649723,15
season,-0.002133378065669489,0.00485430005098324,16
rainfall_lag_1m,-0.0026408280848455755,0.0015317028572493106,17
rainfall_lag_3m,-0.004230138753412943,0.003571991254096683,18
rainfall_trend_3m,-0.005517513302678173,0.0022505143621228516,19
rainfall_lag_2m,-0.006088808446408839,0.0032534887003089785,20
rainfall_12m,-0.007109152837458088,0.0056128928844094966,21
rainfall_prev_12m,-0.01628332402257756,0.004401907878978187,22
