feature,mean_abs_shap,rank
month_cos,0.847606,1
year,0.38067624,2
rainfall_prev_12m,0.29585654,3
rainfall_12m,0.23478732,4
historical_monthly_mean,0.20773013,5
rainfall_prev_6m,0.13971205,6
season,0.12707373,7
month_sin,0.09378249,8
rainfall_zscore,0.08383224,9
rainfall_prev_3m,0.076118745,10
rainfall_3m,0.0529854,11
rainfall_lag_3m,0.05058661,12
rainfall_lag_2m,0.05029443,13
rainfall_anomaly_pct,0.04210957,14
rainfall_6m,0.039114736,15
rainfall_mm,0.03661541,16
rainfall_lag_1m,0.036334585,17
rainfall_trend_3m,0.03092125,18
rainfall_anomaly,0.024976024,19
rainfall_deficit_mm,0.009250208,20
rainfall_missing,5.8869555e-05,21
month,0.0,22
