subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,predicted_probability,actual,risk_alert
Konkan & Goa,2013,,2,1028.3,1046.9000000000003,1054.2000000000012,3437.899999999999,690.8752136752137,337.4247863247863,48.84019279397865,0.0,0,1.7186653564842094,0,2013-06-01,18.5,0.1,0.1,18.70000000000045,25.900000000001132,3042.599999999999,18.4,1.2246467991473532e-16,-1.0,0,0.79289764,0,1
Assam & Meghalaya,2013,,0,9.6,12.999999999999886,641.0999999999995,2598.0000000000005,31.363247863247864,-21.763247863247862,-69.39092519416815,21.763247863247862,0,-1.044291746720318,0,2013-02-01,1.1,2.3,17.1,20.499999999999886,920.6999999999994,2595.3000000000006,-16.0,0.8660254037844386,0.5000000000000001,0,0.785709,0,1
Arunachal Pradesh,2009,,0,18.0,22.300000000000853,766.3999999999991,2185.8,46.71632653061224,-28.716326530612243,-61.46957319470534,28.716326530612243,0,-0.8402372192356607,0,2009-01-01,2.6,1.7,115.1,119.40000000000084,1204.499999999999,2244.5,-112.5,0.4999999999999999,0.8660254037844387,0,0.78546345,0,1
Assam & Meghalaya,2006,,1,20.8,62.39999999999989,291.19999999999953,2305.1000000000004,79.22136752136751,-58.42136752136752,-73.74445727108935,58.42136752136752,0,-1.2069618718179886,1,2006-03-01,40.9,0.7,1.3,42.899999999999885,445.2999999999996,2456.5,39.6,1.0,6.123233995736766e-17,0,0.77831286,0,1
Konkan & Goa,2007,,1,33.4,36.80000000000023,36.80000000000068,3297.299999999999,33.36239316239316,0.0376068376068374,0.1127222421478707,0.0,0,0.0006494114142352,0,2007-05-01,3.3,0.1,0.0,3.4000000000002277,25.90000000000068,3475.7,3.3,0.4999999999999999,-0.8660254037844387,0,0.776797,0,1
Konkan & Goa,2017,,2,840.4,887.4000000000002,887.4000000000011,3740.299999999999,690.8752136752137,149.5247863247863,21.642806597354525,0.0,0,0.7616010459431883,0,2017-06-01,47.0,0.0,0.0,47.00000000000023,47.10000000000114,3706.399999999999,47.0,1.2246467991473532e-16,-1.0,0,0.763586,0,1
Naga Mani Mizo Tripura,2001,,1,38.8,87.20000000000022,297.7000000000001,2273.4,77.44273504273504,-38.64273504273504,-49.89846371181353,38.64273504273504,0,-0.6405854392583513,0,2001-03-01,46.9,1.5,1.1,49.50000000000023,557.2000000000002,2363.7000000000003,45.8,1.0,6.123233995736766e-17,0,0.76258767,0,1
Konkan & Goa,2005,,2,730.2,744.0000000000005,747.3000000000003,2997.499999999999,690.8752136752137,39.32478632478637,5.692024485231176,0.0,0,0.2002998909585132,0,2005-06-01,9.8,4.0,1.9,15.700000000000454,17.10000000000023,2945.899999999999,7.9,1.2246467991473532e-16,-1.0,0,0.7576226,0,1
Assam & Meghalaya,2009,,1,44.9,64.39999999999978,201.5999999999996,2252.3,79.22136752136751,-34.32136752136751,-43.32337170538035,34.32136752136751,0,-0.7090655995307177,0,2009-03-01,11.6,7.9,1.6,21.09999999999977,424.19999999999953,2314.9,10.0,1.0,6.123233995736766e-17,1,0.75559837,1,1
Assam & Meghalaya,2009,,0,11.6,21.09999999999977,424.19999999999953,2314.9,31.363247863247864,-19.763247863247862,-63.01403460961984,19.763247863247862,0,-0.9483233734993484,0,2009-02-01,7.9,1.6,2.2,11.699999999999774,921.1999999999996,2317.8,5.7,0.8660254037844386,0.5000000000000001,0,0.75504833,0,1
Coastal Karnataka,2014,,1,181.9,224.29999999999976,234.60000000000045,4284.2,122.5974358974359,59.302564102564105,48.37178173300149,0.0,0,0.4769504405980401,0,2014-05-01,40.5,1.9,0.3,42.699999999999775,109.60000000000043,4202.7,40.2,0.4999999999999999,-0.8660254037844387,1,0.74959433,1,1
Naga Mani Mizo Tripura,2003,,1,78.0,93.30000000000022,270.1000000000001,2250.5,77.44273504273504,0.5572649572649624,0.7195832597563196,0.0,0,0.0092378507121217,0,2003-03-01,11.5,3.8,6.0,21.300000000000228,417.80000000000007,2235.2000000000003,5.5,1.0,6.123233995736766e-17,0,0.74858034,0,1
Assam & Meghalaya,2001,,1,30.9,76.10000000000001,182.5999999999996,2462.8,79.22136752136751,-48.32136752136751,-60.99537161907023,48.32136752136751,0,-0.9982999485772652,0,2001-03-01,39.7,5.5,0.4,45.60000000000001,451.5999999999995,2497.8000000000006,39.3,1.0,6.123233995736766e-17,0,0.7474706,0,1
Konkan & Goa,2013,,1,18.5,18.70000000000045,25.90000000000113,3042.599999999999,33.36239316239316,-14.86239316239316,-44.5483424706666,14.86239316239316,0,-0.2566503427758212,0,2013-05-01,0.1,0.1,5.4,5.600000000000455,9.700000000001136,3025.2,-5.300000000000001,0.4999999999999999,-0.8660254037844387,0,0.7441806,0,1
Coastal Karnataka,2000,,1,216.4,243.0999999999996,259.0000000000002,3694.9,122.5974358974359,93.8025641025641,76.51266391985443,0.0,0,0.7544222573676108,0,2000-05-01,25.8,0.9,0.5,27.199999999999548,55.40000000000023,3814.0,25.3,0.4999999999999999,-0.8660254037844387,0,0.74345505,0,1
Konkan & Goa,2007,,2,939.3,976.0000000000002,976.1000000000006,3553.499999999999,690.8752136752137,248.42478632478628,35.95798219525833,0.0,0,1.26534591189586,0,2007-06-01,33.4,3.3,0.1,36.80000000000023,36.80000000000068,3297.299999999999,33.3,1.2246467991473532e-16,-1.0,0,0.7428559,0,1
Assam & Meghalaya,2007,,1,23.5,98.69999999999987,232.0999999999996,1935.0,79.22136752136751,-55.72136752136751,-70.33628585916344,55.72136752136751,0,-1.151180961644726,0,2007-03-01,73.7,1.5,10.7,85.89999999999989,460.8999999999995,1932.3,63.0,1.0,6.123233995736766e-17,0,0.74079156,0,1
Konkan & Goa,2001,,1,59.6,62.40000000000045,74.20000000000023,3008.8,33.36239316239316,26.23760683760684,78.64425885125789,0.0,0,0.4530825362316499,0,2001-05-01,2.8,0.0,0.0,2.8000000000004546,16.200000000000227,3139.499999999999,2.8,0.4999999999999999,-0.8660254037844387,0,0.7384076,0,1
Assam & Meghalaya,2013,,1,44.0,54.69999999999989,273.49999999999943,2613.2000000000003,79.22136752136751,-35.22136752136751,-44.459428842688986,35.22136752136751,0,-0.7276592362551385,1,2013-03-01,9.6,1.1,2.3,12.999999999999886,641.0999999999995,2598.0000000000005,7.3,1.0,6.123233995736766e-17,1,0.73552436,1,1
Naga Mani Mizo Tripura,2002,,0,3.9,22.700000000000227,623.5,2123.3,36.41367521367521,-32.513675213675214,-89.289738052765,32.513675213675214,0,-0.8665547570784738,0,2002-02-01,18.6,0.2,65.4,84.20000000000023,882.6,2166.3,-46.8,0.8660254037844386,0.5000000000000001,0,0.7337914,0,1
Assam & Meghalaya,2013,,2,367.8,1000.7,1167.0999999999997,2087.8,494.5658119658119,-126.7658119658119,-25.631737758406743,126.7658119658119,0,-1.0326049970958169,1,2013-07-01,286.2,346.7,112.8,745.6999999999998,800.3999999999994,2164.3,173.39999999999998,-0.4999999999999997,-0.8660254037844388,0,0.73301053,0,1
Konkan & Goa,2011,,2,857.0,861.5000000000002,861.5000000000011,3946.399999999999,690.8752136752137,166.12478632478633,24.045555989924832,0.0,0,0.846152762574274,0,2011-06-01,1.1,3.4,0.0,4.500000000000227,5.900000000001137,3770.199999999999,1.1,1.2246467991473532e-16,-1.0,0,0.73296446,0,1
Konkan & Goa,2017,,1,47.0,47.00000000000023,47.10000000000114,3706.399999999999,33.36239316239316,13.63760683760684,40.87718399344162,0.0,0,0.2355001937622062,0,2017-05-01,0.0,0.0,0.0,0.0,2.100000000001137,3661.499999999999,0.0,0.4999999999999999,-0.8660254037844387,0,0.73185295,0,1
Konkan & Goa,2014,,1,21.3,23.80000000000045,31.90000000000113,3528.3999999999987,33.36239316239316,-12.06239316239316,-36.15565916892965,12.06239316239316,0,-0.2082987111159448,0,2014-05-01,0.7,1.8,5.3,7.800000000000455,12.700000000001136,3525.599999999999,-4.6,0.4999999999999999,-0.8660254037844387,1,0.7312938,1,1
Assam & Meghalaya,2006,,0,0.7,10.899999999999888,906.2999999999996,2446.1000000000004,16.86068376068376,-16.16068376068376,-95.8483297004106,16.16068376068376,0,-1.0360638713972166,0,2006-01-01,1.3,8.9,218.6,228.79999999999987,1380.0999999999997,2468.2000000000003,-217.3,0.4999999999999999,0.8660254037844387,0,0.72887135,0,1
Coastal Karnataka,2006,,1,355.7,366.2999999999993,369.6000000000004,3720.0,122.5974358974359,233.1025641025641,190.1365737351766,0.0,0,1.8747649842082248,0,2006-05-01,5.9,4.7,0.0,10.59999999999932,38.500000000000455,3409.3,5.9,0.4999999999999999,-0.8660254037844387,0,0.7285395,0,1
Coastal Karnataka,2013,,2,1153.0,1281.9,1322.9000000000003,3673.8,842.2820512820513,310.7179487179488,36.890011872507536,0.0,0,1.6168549147728042,0,2013-06-01,100.4,28.5,19.0,147.89999999999978,173.50000000000043,3171.7,81.4,1.2246467991473532e-16,-1.0,0,0.72823745,0,1
Assam & Meghalaya,2009,,2,426.3,993.8999999999996,1185.2999999999995,2106.5000000000005,494.5658119658119,-68.2658119658119,-13.803180550322988,68.2658119658119,0,-0.556077521798322,0,2009-07-01,321.1,246.5,134.9,702.4999999999998,766.8999999999995,2173.4000000000005,186.2,-0.4999999999999997,-0.8660254037844388,0,0.7243948,0,1
Coastal Karnataka,2007,,2,952.0,1053.2999999999993,1053.9000000000003,3723.8,842.2820512820513,109.71794871794872,13.026271728210906,0.0,0,0.570929376160491,0,2007-06-01,61.1,40.2,0.6,101.89999999999932,101.90000000000046,3571.9,60.5,1.2246467991473532e-16,-1.0,0,0.7203792,0,1
Coastal Karnataka,2005,,2,821.6,939.0999999999996,939.8000000000002,2843.6,842.2820512820513,-20.682051282051248,-2.455478096745712,20.682051282051248,0,-0.1076213215263031,0,2005-06-01,45.0,72.5,0.0,117.49999999999956,118.20000000000022,2827.8,45.0,1.2246467991473532e-16,-1.0,0,0.718857,0,1
Coastal Karnataka,2015,,1,150.3,254.7999999999996,288.0000000000002,3717.1,122.5974358974359,27.70256410256411,22.596365005333283,0.0,0,0.2228023417598247,0,2015-05-01,72.2,32.3,1.0,105.49999999999956,177.70000000000022,3748.7,71.2,0.4999999999999999,-0.8660254037844387,0,0.7181723,0,1
Sub Himalayan West Bengal & Sikkim,2007,,1,46.6,130.8000000000013,277.4000000000008,2335.4,43.96666666666667,2.633333333333333,5.989385898407884,0.0,0,0.0842768781556224,0,2007-03-01,81.1,3.1,7.9,92.1000000000013,687.6000000000008,2328.6,73.19999999999999,1.0,6.123233995736766e-17,0,0.7178083,0,1
Arunachal Pradesh,2000,,0,47.1,105.5000000000008,595.699999999999,2403.9,90.88367346938776,-43.78367346938776,-48.17551029573575,43.78367346938776,0,-0.9482190356387924,0,2000-02-01,54.1,4.3,28.3,86.7000000000008,986.699999999999,2362.9,25.8,0.8660254037844386,0.5000000000000001,0,0.7175365,0,1
Coastal Karnataka,2016,,2,963.1,1061.1999999999996,1061.9000000000003,3175.3,842.2820512820513,120.81794871794877,14.34412006453774,0.0,0,0.628689443218186,0,2016-06-01,94.3,3.8,0.2,98.29999999999954,113.10000000000034,2947.5,94.1,1.2246467991473532e-16,-1.0,0,0.7169455,0,1
Konkan & Goa,2006,,1,211.8,221.70000000000047,221.80000000000047,3820.399999999999,33.36239316239316,178.43760683760684,534.8465440385305,0.0,0,3.081339085743501,0,2006-05-01,0.0,9.9,0.0,9.900000000000457,10.000000000000457,3618.399999999999,0.0,0.4999999999999999,-0.8660254037844387,0,0.71687335,0,1
Coastal Karnataka,2013,,1,100.4,147.89999999999978,173.50000000000043,3171.7,122.5974358974359,-22.19743589743589,-18.105954447535183,22.19743589743589,0,-0.1785264598865977,0,2013-05-01,28.5,19.0,19.6,67.09999999999977,141.10000000000045,3094.2,8.899999999999999,0.4999999999999999,-0.8660254037844387,0,0.7168681,0,1
Coastal Karnataka,2009,,1,100.7,160.39999999999944,174.30000000000047,3093.3,122.5974358974359,-21.89743589743589,-17.86125112417125,21.89743589743589,0,-0.1761136614799058,0,2009-05-01,24.5,35.2,0.0,59.69999999999944,92.90000000000046,3056.9,24.5,0.4999999999999999,-0.8660254037844387,1,0.7162086,1,1
Assam & Meghalaya,2011,,2,316.0,646.3999999999997,777.8999999999994,2033.7000000000005,508.7418803418804,-192.74188034188035,-37.88598654633183,192.74188034188035,0,-1.8156316724711992,0,2011-06-01,238.3,92.1,109.0,439.39999999999975,469.4999999999994,2287.4000000000005,129.3,1.2246467991473532e-16,-1.0,0,0.7158484,0,1
