feature,importance,rank
month_cos,0.3246485,1
season,0.13056664,2
month_sin,0.0858887,3
rainfall_prev_12m,0.039136898,4
rainfall_12m,0.03649528,5
historical_monthly_mean,0.034395866,6
rainfall_prev_6m,0.031916786,7
year,0.031705383,8
rainfall_prev_3m,0.03142475,9
rainfall_lag_2m,0.028400848,10
rainfall_3m,0.027853362,11
rainfall_6m,0.026130958,12
rainfall_lag_3m,0.023976699,13
rainfall_zscore,0.021865068,14
rainfall_trend_3m,0.021160753,15
rainfall_anomaly,0.020862712,16
rainfall_lag_1m,0.020540087,17
rainfall_deficit_mm,0.018384825,18
rainfall_mm,0.017875982,19
rainfall_anomaly_pct,0.017196182,20
rainfall_missing,0.009573744,21
month,0.0,22
