feature,importance,rank
season,0.2851220970155104,1
month,0.12273187328588263,2
month_sin,0.09129473448231519,3
month_cos,0.07692232731508357,4
subdivision,0.05566245524621366,5
year,0.03169524352080285,6
historical_monthly_mean,0.02765797525837959,7
rainfall_prev_3m,0.02458339898976569,8
rainfall_prev_12m,0.023106480154440157,9
rainfall_prev_6m,0.023007883574747024,10
rainfall_3m,0.020973504241739244,11
rainfall_12m,0.02077911165902336,12
rainfall_lag_1m,0.01955851058132312,13
rainfall_lag_3m,0.019415020744474053,14
rainfall_lag_2m,0.018852775764191306,15
rainfall_zscore,0.018675630427205426,16
rainfall_mm,0.018630914421737494,17
rainfall_6m,0.01831772513177396,18
rainfall_trend_3m,0.018220574138069618,19
rainfall_anomaly_pct,0.018114035369778677,20
rainfall_anomaly,0.017643332352006717,21
rainfall_deficit_mm,0.016786000074519237,22
rainfall_missing,0.012248396251017033,23
