subdivision,year,month,season,probability,risk_rank
Tamil Nadu,2002,6,MONSOON,0.9908819198608398,1
Tamil Nadu,2002,5,PRE_MONSOON,0.9906021356582642,2
Tamil Nadu,2002,4,PRE_MONSOON,0.9892815351486206,3
Tamil Nadu,2002,8,MONSOON,0.9824259281158447,4
East Madhya Pradesh,2002,5,PRE_MONSOON,0.9805379509925842,5
Tamil Nadu,2003,6,MONSOON,0.9783944487571716,6
Tamil Nadu,2002,7,MONSOON,0.9782319664955139,7
Vidarbha,2002,6,MONSOON,0.9774760007858276,8
Tamil Nadu,2003,5,PRE_MONSOON,0.977048933506012,9
Jharkhand,2002,5,PRE_MONSOON,0.9770087599754333,10
East Rajasthan,1918,5,PRE_MONSOON,0.9757934212684631,11
Konkan & Goa,1918,5,PRE_MONSOON,0.9757170081138611,12
Haryana Delhi & Chandigarh,2002,5,PRE_MONSOON,0.9753962755203247,13
Chhattisgarh,1904,6,MONSOON,0.9753441214561462,14
Andaman & Nicobar Islands,1911,6,MONSOON,0.974583089351654,15
Chhattisgarh,1911,6,MONSOON,0.9745158553123474,16
West Uttar Pradesh,2002,5,PRE_MONSOON,0.974230945110321,17
Matathwada,2002,5,PRE_MONSOON,0.9738820195198059,18
Chhattisgarh,2009,5,PRE_MONSOON,0.9737964868545532,19
West Rajasthan,2002,5,PRE_MONSOON,0.9735029935836792,20
Tamil Nadu,2003,7,MONSOON,0.9733182787895203,21
Orissa,1911,6,MONSOON,0.9732608199119568,22
Chhattisgarh,1911,5,PRE_MONSOON,0.9730769991874695,23
Jharkhand,2009,5,PRE_MONSOON,0.9729774594306946,24
Punjab,2002,5,PRE_MONSOON,0.9728832244873047,25
Gujarat Region,2002,4,PRE_MONSOON,0.9720672369003296,26
Andaman & Nicobar Islands,1911,7,MONSOON,0.9718834757804871,27
South Interior Karnataka,2002,5,PRE_MONSOON,0.9718688130378723,28
Saurashtra & Kutch,2002,5,PRE_MONSOON,0.9716029167175293,29
Madhya Maharashtra,1911,6,MONSOON,0.9714640974998474,30
East Madhya Pradesh,2002,6,MONSOON,0.9712293744087219,31
Haryana Delhi & Chandigarh,2002,6,MONSOON,0.9705165028572083,32
Punjab,2002,6,MONSOON,0.9702265858650208,33
West Uttar Pradesh,1911,6,MONSOON,0.9701169729232788,34
South Interior Karnataka,1905,7,MONSOON,0.9700921773910522,35
West Madhya Pradesh,1918,5,PRE_MONSOON,0.970054566860199,36
Matathwada,2002,6,MONSOON,0.9700126051902771,37
West Madhya Pradesh,2002,5,PRE_MONSOON,0.9696001410484314,38
West Uttar Pradesh,2002,6,MONSOON,0.9695228934288025,39
Punjab,1911,6,MONSOON,0.9693241715431213,40
Coastal Karnataka,1918,5,PRE_MONSOON,0.9688183069229126,41
Madhya Maharashtra,1911,5,PRE_MONSOON,0.9686110019683838,42
Tamil Nadu,2004,4,PRE_MONSOON,0.968478262424469,43
East Rajasthan,2002,5,PRE_MONSOON,0.9683616161346436,44
Telangana,2002,6,MONSOON,0.9681777954101562,45
Saurashtra & Kutch,2002,6,MONSOON,0.9681718945503235,46
East Rajasthan,1918,4,PRE_MONSOON,0.9680524468421936,47
Madhya Maharashtra,1905,6,MONSOON,0.9677266478538513,48
Andaman & Nicobar Islands,1923,6,MONSOON,0.9676278829574585,49
Madhya Maharashtra,1905,4,PRE_MONSOON,0.9672520160675049,50
Tamil Nadu,2003,4,PRE_MONSOON,0.9669697880744934,51
Assam & Meghalaya,2011,5,PRE_MONSOON,0.966791033744812,52
Madhya Maharashtra,1918,5,PRE_MONSOON,0.9665235877037048,53
West Uttar Pradesh,1918,6,MONSOON,0.9664757251739502,54
South Interior Karnataka,1911,6,MONSOON,0.9662367105484009,55
South Interior Karnataka,1905,6,MONSOON,0.9662129878997803,56
North Interior Karnataka,2002,6,MONSOON,0.9661955237388611,57
Gujarat Region,2002,6,MONSOON,0.9661185145378113,58
Saurashtra & Kutch,2002,4,PRE_MONSOON,0.9658308625221252,59
Coastal Karnataka,1976,4,PRE_MONSOON,0.9658204913139343,60
North Interior Karnataka,2002,5,PRE_MONSOON,0.965579628944397,61
Chhattisgarh,2009,4,PRE_MONSOON,0.9653939008712769,62
West Madhya Pradesh,1918,4,PRE_MONSOON,0.9651265740394592,63
East Rajasthan,2002,6,MONSOON,0.9647957682609558,64
Vidarbha,1918,4,PRE_MONSOON,0.9647680521011353,65
Konkan & Goa,2002,5,PRE_MONSOON,0.9646539688110352,66
Andaman & Nicobar Islands,1906,8,MONSOON,0.9641611576080322,67
Haryana Delhi & Chandigarh,1911,5,PRE_MONSOON,0.9640770554542542,68
West Rajasthan,2002,6,MONSOON,0.9639497399330139,69
North Interior Karnataka,2002,4,PRE_MONSOON,0.963778018951416,70
Jharkhand,2002,6,MONSOON,0.9636858701705933,71
Orissa,2009,5,PRE_MONSOON,0.9635541439056396,72
South Interior Karnataka,2002,4,PRE_MONSOON,0.9632599353790283,73
West Uttar Pradesh,2009,5,PRE_MONSOON,0.9632017612457275,74
Chhattisgarh,2009,6,MONSOON,0.9631828665733337,75
Madhya Maharashtra,1905,5,PRE_MONSOON,0.9629692435264587,76
West Madhya Pradesh,2002,6,MONSOON,0.9627935290336609,77
Tamil Nadu,2003,8,MONSOON,0.9625252485275269,78
Vidarbha,1918,6,MONSOON,0.9625242948532104,79
Gujarat Region,1918,4,PRE_MONSOON,0.9623822569847107,80
West Madhya Pradesh,2002,4,PRE_MONSOON,0.962350606918335,81
Chhattisgarh,2002,6,MONSOON,0.9622920751571655,82
Chhattisgarh,1905,5,PRE_MONSOON,0.9622098207473755,83
East Rajasthan,1918,6,MONSOON,0.9621168375015259,84
Konkan & Goa,2009,4,PRE_MONSOON,0.9618047475814819,85
East Madhya Pradesh,1911,6,MONSOON,0.961611270904541,86
East Rajasthan,1911,5,PRE_MONSOON,0.9615663886070251,87
Madhya Maharashtra,1905,7,MONSOON,0.9613802433013916,88
Coastal Karnataka,1995,4,PRE_MONSOON,0.9610710740089417,89
Andaman & Nicobar Islands,1923,7,MONSOON,0.9604756236076355,90
East Madhya Pradesh,2009,6,MONSOON,0.9604500532150269,91
