feature,importance_mean,importance_std,rank
subdivision,0.6400575935611036,0.03465678057663422,1
year,0.603483809702226,0.022685116909926254,2
month,0.4265595817401917,0.011581380570826815,3
rainfall_prev_12m,0.12942442663283185,0.011114121807091632,4
rainfall_trend_3m,0.08400131360339513,0.013969492780141628,5
rainfall_lag_1m,0.08006333703123447,0.012532600818145133,6
rainfall_prev_6m,0.07725194905244721,0.010238576010896873,7
rainfall_lag_2m,0.07639539686426222,0.006830193808397289,8
rainfall_12m,0.06358563690950914,0.008316188732755242,9
rainfall_lag_3m,0.056159398710221985,0.0041621749561564555,10
rainfall_zscore,0.0506021299900055,0.005551943310153944,11
rainfall_6m,0.04167955225852674,0.009650124104735399,12
rainfall_3m,0.037563835769671816,0.009147573184558708,13
rainfall_prev_3m,0.03519150790241917,0.006310937305408956,14
rainfall_anomaly,0.03210970351198528,0.0015613158001577157,15
rainfall_anomaly_pct,0.029883265027692712,0.004335320004916831,16
rainfall_mm,0.0276011676968068,0.0021198689196987113,17
season,0.014380593733078687,0.0014908556608138656,18
rainfall_deficit_mm,0.011178502540980703,0.00265994847800991,19
historical_monthly_mean,0.009861921682378871,0.0027678199144941383,20
month_cos,0.006686710316885651,0.0016106010910038864,21
month_sin,0.0005887545850037738,0.0013521740910517337,22
rainfall_missing,9.26155902249981e-05,0.00013158649636332758,23
