feature,mean_abs_shap,rank
subdivision,1.0627567,1
month,0.94745743,2
year,0.6088743,3
rainfall_lag_3m,0.19723128,4
rainfall_prev_12m,0.19186214,5
rainfall_prev_6m,0.1894303,6
rainfall_lag_1m,0.16023946,7
rainfall_lag_2m,0.1556048,8
rainfall_prev_3m,0.13971658,9
rainfall_zscore,0.12855199,10
rainfall_3m,0.12684184,11
rainfall_trend_3m,0.121586256,12
rainfall_12m,0.1176873,13
season,0.11256915,14
rainfall_anomaly,0.097404905,15
rainfall_mm,0.095113374,16
rainfall_anomaly_pct,0.08807741,17
historical_monthly_mean,0.07132669,18
month_cos,0.06571264,19
rainfall_6m,0.063117124,20
rainfall_deficit_mm,0.05020129,21
month_sin,0.02840377,22
rainfall_missing,0.0036668954,23
