threshold,precision,recall,f1,alert_rate,true_positive,false_positive,false_negative,true_negative,false_positive_rate,model,probability_column
0.01,0.05529473135106938,1.0,0.10479485912011864,1.0,424,7244,0,0,1.0,RAW_XGBOOST,raw_probability
0.015,0.05529473135106938,1.0,0.10479485912011864,1.0,424,7244,0,0,1.0,RAW_XGBOOST,raw_probability
0.02,0.05579681537044348,1.0,0.105696123644522,0.991001564945227,424,7175,0,69,0.9904748757592491,RAW_XGBOOST,raw_probability
0.025,0.05717367853290183,1.0,0.10816326530612246,0.9671361502347418,424,6992,0,252,0.9652125897294312,RAW_XGBOOST,raw_probability
0.03,0.05943369778525372,1.0,0.11219899444297433,0.9303599374021909,424,6710,0,534,0.9262838210933186,RAW_XGBOOST,raw_probability
0.035,0.0620427275387767,1.0,0.11683659410305869,0.8912363067292645,424,6410,0,834,0.8848702374378796,RAW_XGBOOST,raw_probability
0.04,0.06393244873341375,1.0,0.12018140589569161,0.8648930620761607,424,6208,0,1036,0.8569850911098841,RAW_XGBOOST,raw_probability
0.045,0.06598194833488952,1.0,0.12379562043795621,0.8380281690140845,424,6002,0,1242,0.8285477636664826,RAW_XGBOOST,raw_probability
0.05,0.06774245087074612,1.0,0.1268891216519527,0.8162493479394888,424,5835,0,1409,0.8054942020982883,RAW_XGBOOST,raw_probability
0.055,0.06948541461815798,1.0,0.12994177137603433,0.795774647887324,424,5678,0,1566,0.7838210933186085,RAW_XGBOOST,raw_probability
0.06,0.07100889709585362,0.9976415094339622,0.1325811001410437,0.7768648930620762,423,5534,1,1710,0.7639425731639978,RAW_XGBOOST,raw_probability
0.065,0.07279297883324728,0.9976415094339622,0.13568564554931836,0.7578247261345853,423,5388,1,1856,0.7437879624516841,RAW_XGBOOST,raw_probability
0.07,0.0743801652892562,0.9976415094339622,0.13843888070692195,0.7416536254564423,423,5264,1,1980,0.7266703478741027,RAW_XGBOOST,raw_probability
0.075,0.07577929057685417,0.9976415094339622,0.14085914085914086,0.7279603547209181,423,5159,1,2085,0.7121755935946991,RAW_XGBOOST,raw_probability
0.08,0.07742998352553541,0.9976415094339622,0.14370647188720911,0.7124413145539906,423,5040,1,2204,0.6957482054113749,RAW_XGBOOST,raw_probability
0.085,0.07894736842105263,0.9976415094339622,0.1463161535800761,0.6987480438184663,423,4935,1,2309,0.6812534511319713,RAW_XGBOOST,raw_probability
0.09,0.08021288728378635,0.9952830188679245,0.1484608619173263,0.6860980699008868,422,4839,2,2405,0.6680011043622308,RAW_XGBOOST,raw_probability
0.095,0.08168795973674023,0.9952830188679245,0.15098389982110913,0.6737089201877934,422,4744,2,2500,0.6548868028713418,RAW_XGBOOST,raw_probability
0.1,0.08241758241758242,0.9905660377358491,0.15217391304347827,0.6645800730307773,420,4676,4,2568,0.6454997239094423,RAW_XGBOOST,raw_probability
0.105,0.0834658187599364,0.9905660377358491,0.15395894428152493,0.6562336984872196,420,4612,4,2632,0.6366648260629486,RAW_XGBOOST,raw_probability
0.11,0.08450704225352113,0.9905660377358491,0.1557285873192436,0.6481481481481481,420,4550,4,2694,0.628106018774158,RAW_XGBOOST,raw_probability
0.115,0.08541793776693106,0.9905660377358491,0.15727391874180865,0.6412363067292645,420,4497,4,2747,0.6207896189950304,RAW_XGBOOST,raw_probability
0.12,0.0862600123228589,0.9905660377358491,0.15870017003589645,0.6349765258215962,420,4449,4,2795,0.6141634456101601,RAW_XGBOOST,raw_probability
0.125,0.08711885500933417,0.9905660377358491,0.1601525262154433,0.628716744913928,420,4401,4,2843,0.6075372722252899,RAW_XGBOOST,raw_probability
0.13,0.08775595486836607,0.9905660377358491,0.16122840690978887,0.62415232133542,420,4366,4,2878,0.6027056874654887,RAW_XGBOOST,raw_probability
0.135,0.08866371120962635,0.9905660377358491,0.16275915520248013,0.6177621283255086,420,4317,4,2927,0.595941468801767,RAW_XGBOOST,raw_probability
0.14,0.08934269304403318,0.9905660377358491,0.16390243902439025,0.6130672926447575,420,4281,4,2963,0.5909718387631143,RAW_XGBOOST,raw_probability
0.145,0.089606501283148,0.9882075471698113,0.16431372549019607,0.6098069900886802,419,4257,5,2987,0.5876587520706792,RAW_XGBOOST,raw_probability
0.15,0.09020452099031216,0.9882075471698113,0.16531860327480766,0.6057642149191445,419,4226,5,3018,0.5833793484262838,RAW_XGBOOST,raw_probability
0.155,0.0906527868141401,0.9858490566037735,0.1660377358490566,0.6013302034428795,418,4193,6,3051,0.5788238542241856,RAW_XGBOOST,raw_probability
0.16,0.09126637554585153,0.9858490566037735,0.16706634692246203,0.5972874282733438,418,4162,6,3082,0.5745444505797902,RAW_XGBOOST,raw_probability
0.165,0.09152765583845479,0.9834905660377359,0.1674698795180723,0.5941575378195096,417,4139,7,3105,0.5713694091662065,RAW_XGBOOST,raw_probability
0.17,0.09237926451041205,0.9834905660377359,0.16889428918590524,0.5886802295253,417,4097,7,3147,0.5655715074544451,RAW_XGBOOST,raw_probability
0.01,0.0931219294327825,0.9834905660377359,0.1701346389228886,0.5839853938445487,417,4061,7,3183,0.5606018774157924,ISOTONIC,isotonic_probability
0.015,0.0931219294327825,0.9834905660377359,0.1701346389228886,0.5839853938445487,417,4061,7,3183,0.5606018774157924,ISOTONIC,isotonic_probability
0.02,0.09316353887399464,0.9834905660377359,0.17020408163265305,0.5837245696400626,417,4059,7,3185,0.5603257868580894,ISOTONIC,isotonic_probability
0.025,0.11071744906997343,0.8844339622641509,0.19679874048806087,0.4417057902973396,375,3012,49,4232,0.4157923799006074,ISOTONIC,isotonic_probability
0.03,0.11078286558345643,0.8844339622641509,0.19690207403517984,0.44144496609285344,375,3010,49,4234,0.41551628934290447,ISOTONIC,isotonic_probability
0.035,0.11549660304108703,0.8419811320754716,0.20312944523470838,0.4031038080333855,357,2734,67,4510,0.3774157923799006,ISOTONIC,isotonic_probability
0.04,0.12764260071798963,0.7547169811320755,0.2183555100648243,0.32694314032342203,320,2187,104,5057,0.3019050248481502,ISOTONIC,isotonic_probability
0.045,0.12769353551476456,0.7547169811320755,0.21843003412969283,0.3268127282211789,320,2186,104,5058,0.3017669795692987,ISOTONIC,isotonic_probability
0.05,0.13209144792548688,0.7358490566037735,0.22397702799712849,0.3080333854981742,312,2050,112,5194,0.2829928216454997,ISOTONIC,isotonic_probability
