threshold,precision,recall,f1,alert_rate,true_positive,false_positive,false_negative,true_negative,false_positive_rate,model,probability_column
0.09,0.1608598962194218,0.5117924528301887,0.24478285391990975,0.17592592592592593,217,1132,207,6112,0.15626725565985644,SIGMOID,sigmoid_probability
0.075,0.15102974828375287,0.6226415094339622,0.2430939226519337,0.2279603547209181,264,1484,160,5760,0.2048591938155715,SIGMOID,sigmoid_probability
0.08,0.1531809759110562,0.5849056603773585,0.2427802251590798,0.21113719353155974,248,1371,176,5873,0.18926007730535616,SIGMOID,sigmoid_probability
0.085,0.15570469798657718,0.5471698113207547,0.24242424242424243,0.19431403234220135,232,1258,192,5986,0.17366096079514082,SIGMOID,sigmoid_probability
0.07,0.14541622760800843,0.6509433962264151,0.23772609819121446,0.24752217005738134,276,1622,148,5622,0.22390944229707344,SIGMOID,sigmoid_probability
0.095,0.16071428571428573,0.44575471698113206,0.23625,0.15336463223787167,189,987,235,6257,0.13625069022639424,SIGMOID,sigmoid_probability
0.1,0.16666666666666666,0.4033018867924528,0.23586206896551723,0.13380281690140844,171,855,253,6389,0.1180287134180011,SIGMOID,sigmoid_probability
0.065,0.1386861313868613,0.6721698113207547,0.2299314239612747,0.26799687010954615,285,1770,139,5474,0.24434014356709,SIGMOID,sigmoid_probability
0.105,0.16989737742303307,0.35141509433962265,0.22905457340507301,0.11437141366718831,149,728,275,6516,0.10049696300386526,SIGMOID,sigmoid_probability
0.06,0.13533151680290645,0.7028301886792453,0.22696115765422697,0.2871674491392801,298,1904,126,5340,0.2628382109331861,SIGMOID,sigmoid_probability
0.11,0.1760752688172043,0.3089622641509434,0.2243150684931507,0.09702660406885759,131,613,293,6631,0.084621755935947,SIGMOID,sigmoid_probability
0.055,0.13222789115646258,0.7334905660377359,0.22406340057636887,0.30672926447574334,311,2041,113,5203,0.28175041413583657,SIGMOID,sigmoid_probability
0.05,0.12811244979919678,0.7523584905660378,0.2189430336307481,0.32472613458528954,319,2171,105,5073,0.2996963003865268,SIGMOID,sigmoid_probability
0.045,0.125,0.7783018867924528,0.2154046997389034,0.3442879499217527,330,2310,94,4934,0.3188845941468802,SIGMOID,sigmoid_probability
0.115,0.1791530944625407,0.25943396226415094,0.2119460500963391,0.08007303077725612,110,504,314,6740,0.06957482054113749,SIGMOID,sigmoid_probability
0.04,0.12052932761087268,0.7948113207547169,0.2093167701863354,0.3646322378716745,337,2459,87,4785,0.33945334069574823,SIGMOID,sigmoid_probability
0.12,0.19467213114754098,0.2240566037735849,0.20833333333333334,0.06364110589462701,95,393,329,6851,0.05425179458862507,SIGMOID,sigmoid_probability
0.035,0.11713520749665328,0.8254716981132075,0.205158264947245,0.38967136150234744,350,2638,74,4606,0.3641634456101601,SIGMOID,sigmoid_probability
0.03,0.11358644493253844,0.8537735849056604,0.20049847687621158,0.41562336984872195,362,2825,62,4419,0.3899779127553838,SIGMOID,sigmoid_probability
0.025,0.10981308411214953,0.8867924528301887,0.19542619542619544,0.44653103808033384,376,3048,48,4196,0.42076200993926005,SIGMOID,sigmoid_probability
0.02,0.1061269146608315,0.9150943396226415,0.19019607843137254,0.4767866458007303,388,3268,36,3976,0.451131971286582,SIGMOID,sigmoid_probability
0.015,0.10189155107187894,0.9528301886792453,0.18409660514923673,0.5170839853938446,404,3561,20,3683,0.49157923799006076,SIGMOID,sigmoid_probability
0.01,0.09348952466771795,0.9787735849056604,0.17067653711700595,0.5788993218570684,415,4024,9,3220,0.5554942020982883,SIGMOID,sigmoid_probability
0.125,0.17866666666666667,0.1580188679245283,0.1677096370463079,0.04890453834115806,67,308,357,6936,0.04251794588625069,SIGMOID,sigmoid_probability
0.13,0.16666666666666666,0.10613207547169812,0.12968299711815562,0.035211267605633804,45,225,379,7019,0.03106018774157924,SIGMOID,sigmoid_probability
0.135,0.16847826086956522,0.07311320754716981,0.10197368421052631,0.023995826812728223,31,153,393,7091,0.02112092766427388,SIGMOID,sigmoid_probability
0.14,0.1794871794871795,0.049528301886792456,0.07763401109057301,0.015258215962441314,21,96,403,7148,0.013252346769740474,SIGMOID,sigmoid_probability
0.145,0.17105263157894737,0.030660377358490566,0.052,0.0099113197704747,13,63,411,7181,0.008696852567642186,SIGMOID,sigmoid_probability
0.15,0.19444444444444445,0.01650943396226415,0.030434782608695653,0.004694835680751174,7,29,417,7215,0.004003313086692435,SIGMOID,sigmoid_probability
0.165,0.5,0.0023584905660377358,0.004694835680751174,0.0002608242044861763,1,1,423,7243,0.0001380452788514633,SIGMOID,sigmoid_probability
0.16,0.125,0.0023584905660377358,0.004629629629629629,0.0010432968179447052,1,7,423,7237,0.000966316951960243,SIGMOID,sigmoid_probability
0.155,0.07142857142857142,0.0023584905660377358,0.0045662100456621,0.0018257694314032342,1,13,423,7231,0.0017945886250690225,SIGMOID,sigmoid_probability
0.17,0.0,0.0,0.0,0.0,0,0,424,7244,0.0,SIGMOID,sigmoid_probability
