subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
Andaman & Nicobar Islands,1901,JAN,WINTER,49.2,49.2,49.2,49.2,54.38214285714286,-5.182142857142857,-9.529125894792143,5.182142857142857,0,-0.0695199457258535,1901-01-01,,,,,,,,0.8660254037844387,-0.4999999999999998
Andaman & Nicobar Islands,1901,FEB,WINTER,87.1,136.3,136.3,136.3,27.685714285714287,59.41428571428571,214.60268317853456,0.0,0,1.5584025546410458,1901-02-01,49.2,,,49.2,49.2,49.2,,-0.8660254037844385,-0.5000000000000004
Andaman & Nicobar Islands,1901,MAR,PRE_MONSOON,29.2,165.5,165.5,165.5,31.59454545454545,-2.3945454545454545,-7.578983714104852,2.3945454545454545,0,-0.0494701355074359,1901-03-01,87.1,49.2,,136.3,136.3,136.3,,-2.4492935982947064e-16,1.0
Andaman & Nicobar Islands,1901,APR,PRE_MONSOON,2.3,118.6,167.79999999999998,167.79999999999998,71.91636363636364,-69.61636363636364,-96.80184052181828,69.61636363636364,0,-1.058734160442866,1901-04-01,29.2,87.1,49.2,165.5,165.5,165.5,-20.000000000000004,0.8660254037844386,0.5000000000000001
Andaman & Nicobar Islands,1901,MAY,PRE_MONSOON,528.8,560.3,696.5999999999999,696.5999999999999,354.8297297297297,173.97027027027025,49.02922604675253,0.0,0,1.1635329295758572,1901-05-01,2.3,29.2,87.1,118.6,167.79999999999998,167.79999999999998,-84.8,0.49999999999999994,0.8660254037844387
Andaman & Nicobar Islands,1901,JUN,MONSOON,517.5,1048.6,1214.1,1214.1,470.08363636363634,47.416363636363656,10.08679306583742,0.0,0,0.3235244020038167,1901-06-01,528.8,2.3,29.2,560.3,696.5999999999999,696.5999999999999,499.59999999999997,-0.4999999999999997,-0.8660254037844388
Andaman & Nicobar Islands,1901,JUL,MONSOON,365.1,1411.4,1530.0,1579.1999999999998,399.0472727272727,-33.94727272727266,-8.507080500829233,33.94727272727266,0,-0.2268973033955047,1901-07-01,517.5,528.8,2.3,1048.6,1214.1,1214.1,515.2,1.2246467991473532e-16,-1.0
Andaman & Nicobar Islands,1901,AUG,MONSOON,481.1,1363.7,1924.0,2060.3,398.6136363636364,82.48636363636365,20.693312047437143,0.0,0,0.5911314717831372,1901-08-01,365.1,517.5,528.8,1411.4,1530.0,1579.1999999999998,-163.69999999999993,1.0,6.123233995736766e-17
Andaman & Nicobar Islands,1901,SEP,MONSOON,332.6,1178.8000000000002,2227.4,2392.9,440.3825688073394,-107.78256880733936,-24.474758185647577,107.78256880733936,0,-0.7075814848438321,1901-09-01,481.1,365.1,517.5,1363.7,1924.0,2060.3,-36.39999999999998,0.49999999999999994,-0.8660254037844387
Andaman & Nicobar Islands,1901,OCT,POST_MONSOON,388.5,1202.2,2613.6,2781.4,289.9890909090909,98.51090909090908,33.97055688615245,0.0,0,0.9981610274434144,1901-10-01,332.6,481.1,365.1,1178.8000000000002,2227.4,2392.9,-32.5,-0.5000000000000004,0.8660254037844384
Andaman & Nicobar Islands,1901,NOV,POST_MONSOON,558.2,1279.3000000000002,2643.0,3339.6,233.01818181818183,325.18181818181824,139.5521223470662,0.0,0,2.7867964722858605,1901-11-01,388.5,332.6,481.1,1202.2,2613.6,2781.4,-92.60000000000002,-0.8660254037844386,0.5000000000000001
Andaman & Nicobar Islands,1901,DEC,POST_MONSOON,33.6,980.3,2159.1,3373.2,157.46697247706425,-123.86697247706424,-78.66219215912467,123.86697247706424,0,-0.9439752180188506,1901-12-01,558.2,388.5,332.6,1279.3000000000002,2643.0,3339.6,225.60000000000002,-1.0,-1.8369701987210297e-16
Andaman & Nicobar Islands,1902,JAN,WINTER,0.0,591.8000000000001,1794.0000000000002,3324.0,54.38214285714286,-54.38214285714286,-100.0,54.38214285714286,0,-0.7295521802671066,1902-01-01,33.6,558.2,388.5,980.3000000000001,2159.1,3373.2,-354.9,0.8660254037844387,-0.4999999999999998
Andaman & Nicobar Islands,1902,FEB,WINTER,159.8,193.4,1472.7,3396.7,27.685714285714287,132.11428571428573,477.1929824561404,0.0,0,3.465281756508871,1902-02-01,0.0,33.6,558.2,591.8000000000001,1794.0000000000002,3324.0,-558.2,-0.8660254037844385,-0.5000000000000004
Andaman & Nicobar Islands,1902,MAR,PRE_MONSOON,12.2,172.0,1152.3,3379.7,31.59454545454545,-19.39454545454545,-61.38573977096162,19.39454545454545,0,-0.40068180368855,1902-03-01,159.8,0.0,33.6,193.4,1472.7,3396.7,126.20000000000002,-2.4492935982947064e-16,1.0
Andaman & Nicobar Islands,1902,APR,PRE_MONSOON,0.0,172.0,763.8000000000001,3377.4,71.91636363636364,-71.91636363636364,-100.0,71.91636363636364,0,-1.093712841342347,1902-04-01,12.2,159.8,0.0,172.0,1152.3,3379.7,12.2,0.8660254037844386,0.5000000000000001
Andaman & Nicobar Islands,1902,MAY,PRE_MONSOON,446.1,458.3,651.7,3294.7000000000003,354.8297297297297,91.27027027027032,25.72227257839696,0.0,0,0.6104259353380778,1902-05-01,0.0,12.2,159.8,172.0,763.8000000000001,3377.3999999999996,-159.8,0.49999999999999994,0.8660254037844387
Andaman & Nicobar Islands,1902,JUN,MONSOON,537.1,983.2,1155.2,3314.3,470.08363636363634,67.01636363636368,14.256263875673971,0.0,0,0.4572562572743849,1902-06-01,446.1,0.0,12.2,458.3,651.7,3294.7000000000003,433.90000000000003,-0.4999999999999997,-0.8660254037844388
