year,observations,alerts,alert_rate,mean_probability,p95_probability,maximum_probability
2000,432,72,0.16666666666666666,0.03762444264328704,0.1206799745,0.15445533
2001,432,75,0.1736111111111111,0.03847738582939816,0.12333311549999999,0.16456237
2002,432,83,0.19212962962962962,0.03992641959675925,0.1258279765,0.15181288
2003,432,61,0.1412037037037037,0.036049869025925926,0.1153075577,0.15391561
2004,432,73,0.16898148148148148,0.03810801293425926,0.12109008999999998,0.14215507
2005,432,68,0.1574074074074074,0.03837268380277777,0.1199232433,0.15982072
2006,432,77,0.17824074074074073,0.04077093192407407,0.12701949649999997,0.15980673
2007,432,87,0.2013888888888889,0.04166504409212963,0.12833944,0.15392584
2008,432,62,0.14351851851851852,0.03809994457291667,0.12216521704999998,0.15375127
2009,432,91,0.21064814814814814,0.04292887730092593,0.13133145999999998,0.16743715
2010,432,71,0.16435185185185186,0.036394223256481485,0.12069915075,0.16084562
2011,432,66,0.1527777777777778,0.03926957535023147,0.12257914479999997,0.15566725
2012,432,79,0.18287037037037038,0.03979699326481482,0.12345501125,0.16704851
2013,432,75,0.1736111111111111,0.039419840912500004,0.12230812149999999,0.15461488
2014,432,92,0.21296296296296297,0.04343307058379629,0.136736567,0.16493143
2015,432,67,0.1550925925925926,0.03802635904398149,0.1260081545,0.15076213
2016,432,67,0.1550925925925926,0.03680568244513888,0.11705756719999999,0.16498064
2017,324,83,0.25617283950617287,0.051542439937654325,0.132287417,0.15421796
