month,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,average_probability
0,648,78,0.12037037037037036,223,0.3441358024691358,0.19282511210762332,0.5512820512820513,0.2857142857142857,0.07226655203626543
1,648,25,0.038580246913580245,29,0.044753086419753084,0.06896551724137931,0.08,0.07407407407407407,0.03529581888780864
2,612,4,0.006535947712418301,0,0.0,0.0,0.0,0.0,0.007343800346568627
3,648,12,0.018518518518518517,15,0.023148148148148147,0.0,0.0,0.0,0.016269985304475307
4,648,9,0.013888888888888888,2,0.0030864197530864196,0.0,0.0,0.0,0.011656911929320987
5,648,55,0.08487654320987655,238,0.36728395061728397,0.10504201680672269,0.45454545454545453,0.17064846416382254,0.07609630402407407
6,648,95,0.14660493827160495,399,0.6157407407407407,0.16791979949874686,0.7052631578947368,0.27125506072874495,0.09482590525586419
7,648,30,0.046296296296296294,43,0.06635802469135803,0.11627906976744186,0.16666666666666666,0.136986301369863,0.035418841017746915
8,648,103,0.15895061728395063,400,0.6172839506172839,0.1875,0.7281553398058253,0.2982107355864811,0.0946700092175926
9,612,2,0.0032679738562091504,0,0.0,0.0,0.0,0.0,0.00635224056748366
10,612,2,0.0032679738562091504,0,0.0,0.0,0.0,0.0,0.006833319424673202
11,648,9,0.013888888888888888,0,0.0,0.0,0.0,0.0,0.01332828969537037
