year,observations,events,event_rate,mean_probability,alert_rate,event_rate_vs_global,absolute_event_rate_change
2000,432,24,0.05555555555555555,0.03762444264328704,0.16666666666666666,1.0047169811139052,0.00026082420448617083
2001,432,23,0.05324074074074074,0.03847738582939816,0.1736111111111111,0.9628537735674926,-0.0020539906103286404
2002,432,92,0.21296296296296297,0.03992641959675925,0.19212962962962962,3.8514150942699703,0.15766823161189358
2003,432,23,0.05324074074074074,0.036049869025925926,0.1412037037037037,0.9628537735674926,-0.0020539906103286404
2004,432,23,0.05324074074074074,0.03810801293425926,0.16898148148148148,0.9628537735674926,-0.0020539906103286404
2005,432,21,0.04861111111111111,0.03837268380277777,0.1574074074074074,0.879127358474667,-0.00668362023995827
2006,432,19,0.04398148148148148,0.04077093192407407,0.17824074074074073,0.7954009433818416,-0.011313249869587899
2007,432,8,0.018518518518518517,0.04166504409212963,0.2013888888888889,0.3349056603713017,-0.036776212832550864
2008,432,2,0.004629629629629629,0.03809994457291667,0.14351851851851852,0.08372641509282543,-0.05066510172143975
2009,432,44,0.10185185185185185,0.04292887730092593,0.21064814814814814,1.8419811320421595,0.046557120500782465
2010,432,8,0.018518518518518517,0.036394223256481485,0.16435185185185186,0.3349056603713017,-0.036776212832550864
2011,432,17,0.03935185185185185,0.03926957535023147,0.1527777777777778,0.7116745282890162,-0.01594287949921753
2012,432,0,0.0,0.03979699326481482,0.18287037037037038,0.0,-0.05529473135106938
2013,432,7,0.016203703703703703,0.039419840912500004,0.1736111111111111,0.293042452824889,-0.039091027647365675
2014,432,45,0.10416666666666667,0.04343307058379629,0.21296296296296297,1.8838443395885724,0.04887193531559729
2015,432,37,0.08564814814814815,0.03802635904398149,0.1550925925925926,1.5489386792172706,0.030353416797078772
2016,432,28,0.06481481481481481,0.03680568244513888,0.1550925925925926,1.172169811299556,0.00952008346374543
2017,324,3,0.009259259259259259,0.051542439937654325,0.25617283950617287,0.16745283018565085,-0.04603547209181012
