feature,feature_type,reference_rows,production_rows,reference_missing_rate,production_missing_rate,missing_rate_change,psi,drift_status,rank
year,numeric,48513,756,0.0,0.0,0.0,12.702809535185633,SIGNIFICANT,1
rainfall_prev_12m,numeric,48513,756,0.0007420691361078474,0.0,-0.0007420691361078474,0.11089260664524435,MODERATE,2
rainfall_12m,numeric,48513,756,0.0,0.0,0.0,0.10471068542064291,MODERATE,3
rainfall_trend_3m,numeric,48513,756,0.004308123595737225,0.0,-0.004308123595737225,0.10073042350056188,MODERATE,4
month,categorical,48513,756,0.0,0.0,0.0,0.07397276441448285,STABLE,5
rainfall_anomaly_pct,numeric,48513,756,0.001298620988188733,0.0,-0.001298620988188733,0.06640996744320243,STABLE,6
rainfall_lag_3m,numeric,48513,756,0.003524828396512275,0.0,-0.003524828396512275,0.06037145374546661,STABLE,7
rainfall_prev_3m,numeric,48513,756,0.001236781893513079,0.0,-0.001236781893513079,0.05857139094288455,STABLE,8
month_sin,numeric,48513,756,0.0,0.0,0.0,0.05613523270368171,STABLE,9
season,categorical,48513,756,0.0,0.0,0.0,0.05147607651243811,STABLE,10
rainfall_prev_6m,numeric,48513,756,0.0009275864201348092,0.0,-0.0009275864201348092,0.0477584812559173,STABLE,11
rainfall_zscore,numeric,48513,756,0.001298620988188733,0.0,-0.001298620988188733,0.04664759239506168,STABLE,12
rainfall_3m,numeric,48513,756,0.0004947127574052315,0.0,-0.0004947127574052315,0.04495285791418222,STABLE,13
rainfall_6m,numeric,48513,756,0.00018551728402696184,0.0,-0.00018551728402696184,0.039623022313668044,STABLE,14
month_cos,numeric,48513,756,0.0,0.0,0.0,0.038297700992880566,STABLE,15
rainfall_lag_2m,numeric,48513,756,0.0027827592604044277,0.0,-0.0027827592604044277,0.03826905387913937,STABLE,16
rainfall_anomaly,numeric,48513,756,0.001298620988188733,0.0,-0.001298620988188733,0.03498725077163292,STABLE,17
rainfall_deficit_mm,numeric,48513,756,0.001298620988188733,0.0,-0.001298620988188733,0.032820171465198965,STABLE,18
rainfall_lag_1m,numeric,48513,756,0.0020406901242965804,0.0,-0.0020406901242965804,0.02233099147000436,STABLE,19
rainfall_mm,numeric,48513,756,0.001298620988188733,0.0,-0.001298620988188733,0.01838128892187037,STABLE,20
historical_monthly_mean,numeric,48513,756,0.0,0.0,0.0,0.006484048499296884,STABLE,21
subdivision,categorical,48513,756,0.0,0.0,0.0,0.000831336284608241,STABLE,22
rainfall_missing,numeric,48513,756,0.0,0.0,0.0,0.0,STABLE,23
