threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.01,756,31,230,514,211,12,19,0.08260869565217391,0.6129032258064516,0.14559386973180077,0.30423280423280424,raw_probability
0.015,756,31,194,544,181,18,13,0.06701030927835051,0.41935483870967744,0.11555555555555555,0.2566137566137566,raw_probability
0.02,756,31,164,574,151,18,13,0.07926829268292683,0.41935483870967744,0.13333333333333333,0.21693121693121692,raw_probability
0.025,756,31,132,605,120,19,12,0.09090909090909091,0.3870967741935484,0.147239263803681,0.1746031746031746,raw_probability
0.03,756,31,119,618,107,19,12,0.10084033613445378,0.3870967741935484,0.16,0.1574074074074074,raw_probability
0.035,756,31,104,632,93,20,11,0.10576923076923077,0.3548387096774194,0.16296296296296298,0.13756613756613756,raw_probability
0.04,756,31,93,641,84,22,9,0.0967741935483871,0.2903225806451613,0.14516129032258066,0.12301587301587301,raw_probability
0.045,756,31,83,649,76,24,7,0.08433734939759036,0.22580645161290322,0.12280701754385964,0.10978835978835978,raw_probability
0.05,756,31,79,653,72,24,7,0.08860759493670886,0.22580645161290322,0.12727272727272726,0.10449735449735449,raw_probability
0.055,756,31,71,660,65,25,6,0.08450704225352113,0.1935483870967742,0.11764705882352941,0.09391534391534391,raw_probability
0.06,756,31,65,666,59,25,6,0.09230769230769231,0.1935483870967742,0.125,0.08597883597883597,raw_probability
0.065,756,31,62,669,56,25,6,0.0967741935483871,0.1935483870967742,0.12903225806451613,0.082010582010582,raw_probability
0.07,756,31,61,670,55,25,6,0.09836065573770492,0.1935483870967742,0.13043478260869565,0.08068783068783068,raw_probability
0.075,756,31,56,674,51,26,5,0.08928571428571429,0.16129032258064516,0.11494252873563218,0.07407407407407407,raw_probability
0.08,756,31,54,676,49,26,5,0.09259259259259259,0.16129032258064516,0.11764705882352941,0.07142857142857142,raw_probability
0.085,756,31,52,678,47,26,5,0.09615384615384616,0.16129032258064516,0.12048192771084337,0.06878306878306878,raw_probability
0.09,756,31,51,679,46,26,5,0.09803921568627451,0.16129032258064516,0.12195121951219512,0.06746031746031746,raw_probability
0.095,756,31,50,680,45,26,5,0.1,0.16129032258064516,0.12345679012345678,0.06613756613756613,raw_probability
0.1,756,31,45,685,40,26,5,0.1111111111111111,0.16129032258064516,0.13157894736842105,0.05952380952380952,raw_probability
0.105,756,31,45,685,40,26,5,0.1111111111111111,0.16129032258064516,0.13157894736842105,0.05952380952380952,raw_probability
0.11,756,31,44,686,39,26,5,0.11363636363636363,0.16129032258064516,0.13333333333333333,0.0582010582010582,raw_probability
0.115,756,31,44,686,39,26,5,0.11363636363636363,0.16129032258064516,0.13333333333333333,0.0582010582010582,raw_probability
0.12,756,31,42,687,38,27,4,0.09523809523809523,0.12903225806451613,0.1095890410958904,0.05555555555555555,raw_probability
0.125,756,31,42,687,38,27,4,0.09523809523809523,0.12903225806451613,0.1095890410958904,0.05555555555555555,raw_probability
0.13,756,31,39,690,35,27,4,0.10256410256410256,0.12903225806451613,0.11428571428571428,0.051587301587301584,raw_probability
0.135,756,31,37,692,33,27,4,0.10810810810810811,0.12903225806451613,0.11764705882352941,0.04894179894179894,raw_probability
0.14,756,31,37,692,33,27,4,0.10810810810810811,0.12903225806451613,0.11764705882352941,0.04894179894179894,raw_probability
0.145,756,31,36,692,33,28,3,0.08333333333333333,0.0967741935483871,0.08955223880597014,0.047619047619047616,raw_probability
0.15,756,31,36,692,33,28,3,0.08333333333333333,0.0967741935483871,0.08955223880597014,0.047619047619047616,raw_probability
