track,label,bin_index,sample_count,mean_predicted_probability,observed_positive_rate,calibration_gap
A,Frozen V4 baseline,0,711,0.009960721512426161,0.03656821378340366,0.026607492270977494
A,Frozen V4 baseline,1,17,0.1473131135294118,0.11764705882352941,-0.029666054705882378
A,Frozen V4 baseline,2,8,0.24622082,0.0,-0.24622082
A,Frozen V4 baseline,3,6,0.34257594166666666,0.16666666666666666,-0.175909275
A,Frozen V4 baseline,4,4,0.437536795,0.5,0.06246320500000002
A,Frozen V4 baseline,5,4,0.555038425,0.0,-0.555038425
A,Frozen V4 baseline,6,0,0.0,0.0,0.0
A,Frozen V4 baseline,7,5,0.773299402,0.0,-0.773299402
A,Frozen V4 baseline,8,1,0.850388,0.0,-0.850388
A,Frozen V4 baseline,9,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,0,756,0.04436742820291058,0.041005291005291,-0.0033621371976195746
B,TRANSductive / EXPLORATORY,1,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,2,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,3,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,4,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,5,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,6,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,7,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,8,0,0.0,0.0,0.0
B,TRANSductive / EXPLORATORY,9,0,0.0,0.0,0.0
C,raw,0,668,0.03655536745831804,0.025449101796407185,-0.011106265661910857
C,raw,1,86,0.12412364198226052,0.16279069767441862,0.0386670556921581
C,raw,2,2,0.22774522703890976,0.0,-0.22774522703890976
C,raw,3,0,0.0,0.0,0.0
C,raw,4,0,0.0,0.0,0.0
C,raw,5,0,0.0,0.0,0.0
C,raw,6,0,0.0,0.0,0.0
C,raw,7,0,0.0,0.0,0.0
C,raw,8,0,0.0,0.0,0.0
C,raw,9,0,0.0,0.0,0.0
C,isotonic,0,457,0.03565007647756182,0.010940919037199124,-0.024709157440362693
C,isotonic,1,154,0.14952666592957017,0.045454545454545456,-0.10407212047502472
C,isotonic,2,114,0.2512939507859714,0.13157894736842105,-0.11971500341755034
C,isotonic,3,0,0.0,0.0,0.0
C,isotonic,4,29,0.41478207166994446,0.13793103448275862,-0.27685103718718584
C,isotonic,5,0,0.0,0.0,0.0
C,isotonic,6,0,0.0,0.0,0.0
C,isotonic,7,0,0.0,0.0,0.0
C,isotonic,8,0,0.0,0.0,0.0
C,isotonic,9,2,1.0,0.0,-1.0
