subdivision,method,sample_count,positive_count,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
Andaman & Nicobar Islands,raw,21,0,0.0,,0.006306256197462685,0.06191270098175006,0.0,0.0,0.0,0.3333333333333333
Andaman & Nicobar Islands,isotonic,21,0,0.0,,0.044150791634566464,0.1545208753418934,0.0,0.0,0.0,0.5238095238095238
Arunachal Pradesh,raw,21,0,0.0,,0.001319320944632858,0.028051628728259524,0.0,0.0,0.0,0.0
Arunachal Pradesh,isotonic,21,0,0.0,,0.006163825939730078,0.05803829434793712,0.0,0.0,0.0,0.19047619047619047
Assam & Meghalaya,raw,21,3,0.5555555555555556,0.9074074074074074,0.11610920103335116,0.08117840130070282,0.5,1.0,0.6666666666666666,0.2857142857142857
Assam & Meghalaya,isotonic,21,3,0.43333333333333335,0.8703703703703703,0.10105849978988056,0.11785691679520027,0.25,1.0,0.4,0.5714285714285714
Bihar,raw,21,3,0.4444444444444445,0.8703703703703705,0.12055548624147702,0.09217704989232417,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285
Bihar,isotonic,21,3,0.4444444444444445,0.8796296296296297,0.10432869033372534,0.12027591617926618,0.375,1.0,0.5454545454545454,0.38095238095238093
Chhattisgarh,raw,21,0,0.0,,0.005502405991831893,0.057155812831256605,0.0,0.0,0.0,0.19047619047619047
Chhattisgarh,isotonic,21,0,0.0,,0.03529349577000372,0.13743382092876957,0.0,0.0,0.0,0.47619047619047616
Coastal Andhra Pradesh,raw,21,0,0.0,,0.002923229001179697,0.04326909365685263,0.0,0.0,0.0,0.09523809523809523
Coastal Andhra Pradesh,isotonic,21,0,0.0,,0.016099034118603545,0.09540552075085461,0.0,0.0,0.0,0.38095238095238093
Coastal Karnataka,raw,21,0,0.0,,0.004229617826966839,0.0472338307128924,0.0,0.0,0.0,0.23809523809523808
Coastal Karnataka,isotonic,21,0,0.0,,0.02787834729127937,0.11135111541527737,0.0,0.0,0.0,0.3333333333333333
East Madhya Pradesh,raw,21,3,0.8666666666666667,0.9629629629629629,0.11849665643171241,0.10252092220455152,1.0,0.6666666666666666,0.8,0.09523809523809523
East Madhya Pradesh,isotonic,21,3,0.7916666666666666,0.9351851851851852,0.09174366295597222,0.09148945713266964,0.375,1.0,0.5454545454545454,0.38095238095238093
East Rajasthan,raw,21,0,0.0,,0.002368319637461496,0.03835971443117149,0.0,0.0,0.0,0.09523809523809523
East Rajasthan,isotonic,21,0,0.0,,0.012712712206964773,0.08302021335672319,0.0,0.0,0.0,0.3333333333333333
