subdivision,month,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation
Andaman & Nicobar Islands,APR,71.91636363636364,65.75433780963796,0.0,323.1,110,0.9143167769454638
Andaman & Nicobar Islands,AUG,398.6136363636364,139.53979372396645,101.3,924.9,110,0.35006277004701086
Andaman & Nicobar Islands,DEC,157.46697247706425,131.2184579771359,0.4,617.5,109,0.8333078099678867
Andaman & Nicobar Islands,FEB,27.685714285714287,38.125120840790004,0.0,173.8,112,1.3770683482225492
Andaman & Nicobar Islands,JAN,54.38214285714286,74.5418139073099,0.0,583.7,112,1.370703874305298
Andaman & Nicobar Islands,JUL,399.0472727272727,149.61514402883475,45.3,918.5,110,0.37493087725245183
Andaman & Nicobar Islands,JUN,470.08363636363634,146.56193889141093,148.8,965.6,110,0.31177843165346214
Andaman & Nicobar Islands,MAR,31.594545454545454,48.4038588126673,0.0,272.8,110,1.5320321313786625
Andaman & Nicobar Islands,MAY,354.8297297297297,149.5189915541863,62.0,973.1,111,0.4213823674472639
Andaman & Nicobar Islands,NOV,233.01818181818183,116.6866046428891,22.8,648.9,110,0.5007618020723237
Andaman & Nicobar Islands,OCT,289.9890909090909,98.6924017091958,82.3,618.6,110,0.34033142901963515
Andaman & Nicobar Islands,SEP,440.3825688073394,152.3253096865977,126.2,868.9,109,0.3458931403645944
Arunachal Pradesh,APR,265.3878787878788,113.84073216804518,86.7,595.1,99,0.4289598028666436
Arunachal Pradesh,AUG,491.30707070707075,270.4712664404542,145.7,1664.6,99,0.5505136859748468
Arunachal Pradesh,DEC,24.079381443298967,24.920999922021632,0.0,127.6,97,1.0349518313294082
Arunachal Pradesh,FEB,90.88367346938776,46.17464090445279,6.1,208.5,98,0.5080631002443551
Arunachal Pradesh,JAN,46.71632653061224,34.17645145109692,0.6,164.5,98,0.7315740339451091
Arunachal Pradesh,JUL,691.1653061224489,350.08934679976886,233.0,2362.8,98,0.5065204281792264
Arunachal Pradesh,JUN,641.8173469387755,306.8225844943219,239.4,1609.9,98,0.47805280732555594
Arunachal Pradesh,MAR,153.9721649484536,85.60153418391037,28.5,605.6,97,0.5559546052532796
Arunachal Pradesh,MAY,356.6939393939394,176.13669136363075,101.8,1168.6,99,0.49380343176815833
Arunachal Pradesh,NOV,35.149484536082475,35.07315308665393,0.0,231.4,97,0.9978283764204228
Arunachal Pradesh,OCT,194.79381443298968,144.78071839742177,8.7,948.3,97,0.7432511079412496
Arunachal Pradesh,SEP,432.0050505050505,200.429770067558,152.5,1222.0,99,0.4639523770225339
Assam & Meghalaya,APR,205.10256410256412,75.24028916782788,45.9,457.1,117,0.3668422649762829
Assam & Meghalaya,AUG,403.3897435897436,101.8121151457474,185.3,773.4,117,0.25239143226529975
Assam & Meghalaya,DEC,8.955555555555556,9.665245634751173,0.0,45.6,117,1.0792457904809003
Assam & Meghalaya,FEB,31.363247863247864,20.840199045522567,0.5,96.9,117,0.664478345367527
Assam & Meghalaya,JAN,16.86068376068376,15.598153942854664,0.1,83.9,117,0.9251198921853276
Assam & Meghalaya,JUL,494.5658119658119,122.76312076964427,287.8,995.2,117,0.24822403368660384
Assam & Meghalaya,JUN,508.74188034188035,106.15692778676056,273.1,780.5,117,0.20866559622616856
Assam & Meghalaya,MAR,79.22136752136751,48.403656226000095,4.4,253.8,117,0.6109924347486769
Assam & Meghalaya,MAY,340.8495726495727,105.07493928713502,159.7,681.2,117,0.3082736424468472
Assam & Meghalaya,NOV,26.892307692307693,26.2632861412846,1.0,126.9,117,0.9766096105168758
Assam & Meghalaya,OCT,152.4974358974359,68.62597208850917,28.1,346.3,117,0.4500139407895648
Assam & Meghalaya,SEP,310.69316239316237,85.92695848348993,137.4,549.8,117,0.276565334819808
Bihar,APR,16.848717948717947,15.892297068101762,0.1,91.4,117,0.9432347978328546
Bihar,AUG,298.7401709401709,83.23108883251729,150.8,539.8,117,0.27860695322821544
Bihar,DEC,3.6316239316239316,7.262131937051715,0.0,44.4,117,1.9996927197812442
Bihar,FEB,14.152991452991454,15.05676942870669,0.0,66.3,117,1.0638577348624207
Bihar,JAN,13.242735042735044,14.715305873063365,0.0,81.2,117,1.1111983910858485
Bihar,JUL,325.18888888888887,96.3958539115713,115.0,580.1,117,0.29643034311823613
Bihar,JUN,173.15897435897435,76.07563517910653,48.1,446.0,117,0.4393398347428115
Bihar,MAR,10.194017094017095,11.66101884262182,0.0,65.5,117,1.1439081115005891
Bihar,MAY,53.57350427350428,27.953234940677056,1.3,118.7,117,0.5217735020276025
Bihar,NOV,7.055555555555555,14.102967677691375,0.0,78.7,117,1.9988458125861792
Bihar,OCT,62.94444444444444,56.813828520098085,1.0,236.0,117,0.9026027478921144
Bihar,SEP,217.83504273504275,79.79678534299329,79.2,449.2,117,0.36631748657653657
Chhattisgarh,APR,16.53076923076923,17.078406720983107,0.0,112.8,117,1.033128373070174
Chhattisgarh,AUG,388.8282051282051,85.44347480801505,208.3,590.0,117,0.21974608241149193
Chhattisgarh,DEC,5.158974358974359,10.515900553744006,0.0,57.6,117,2.0383703856660844
Chhattisgarh,FEB,18.966666666666665,22.947244594564268,0.0,116.5,117,1.2098722984831776
Chhattisgarh,JAN,14.023931623931624,18.21380988744458,0.0,99.5,117,1.2987663071861384
Chhattisgarh,JUL,398.08290598290597,91.68031817003215,138.4,630.6,117,0.2303045842766456
Chhattisgarh,JUN,197.85982905982905,89.39204822677138,37.2,431.2,117,0.45179483198553116
Chhattisgarh,MAR,15.245299145299146,20.522126392676316,0.0,102.9,117,1.3461281538056449
Chhattisgarh,MAY,20.98974358974359,20.45834027976494,0.0,122.3,117,0.9746827155030939
Chhattisgarh,NOV,11.572649572649572,19.567895169576136,0.0,124.5,117,1.6908742502514091
Chhattisgarh,OCT,63.78034188034188,49.06549851687737,0.1,223.3,117,0.7692887349040715
Chhattisgarh,SEP,218.10256410256412,75.00764037122056,72.8,401.2,117,0.3439099429200096
Coastal Andhra Pradesh,APR,26.384615384615383,21.303256248528083,1.1,112.2,117,0.8074120444048545
Coastal Andhra Pradesh,AUG,175.89572649572648,55.27078387851252,45.5,336.2,117,0.31422471130846585
Coastal Andhra Pradesh,DEC,11.550427350427348,23.724080680315986,0.0,138.2,117,2.0539569628510956
Coastal Andhra Pradesh,FEB,12.71025641025641,19.890399627646502,0.0,127.1,117,1.5649093917252646
Coastal Andhra Pradesh,JAN,7.377777777777778,11.453354508698125,0.0,54.1,117,1.552412508709083
Coastal Andhra Pradesh,JUL,173.2863247863248,53.51492847792149,64.6,329.6,117,0.30882372595707974
Coastal Andhra Pradesh,JUN,124.47435897435898,50.58058806097617,44.3,300.1,117,0.4063534729381132
Coastal Andhra Pradesh,MAR,13.132478632478632,19.882763411366742,0.0,96.6,117,1.5140145259550335
Coastal Andhra Pradesh,MAY,62.77606837606838,63.46723652401516,10.5,507.7,117,1.011010057906243
Coastal Andhra Pradesh,NOV,77.08290598290598,75.72266923656383,0.0,345.9,117,0.9823535876210505
Coastal Andhra Pradesh,OCT,183.9017094017094,100.55803349559412,13.4,527.2,117,0.5468031473048364
Coastal Andhra Pradesh,SEP,181.73162393162391,63.03085950489902,71.7,398.1,117,0.34683484437807166
Coastal Karnataka,APR,30.5017094017094,24.134983133324525,0.0,110.1,117,0.7912665751110963
Coastal Karnataka,AUG,710.7914529914531,239.73472177152524,278.3,1579.1,117,0.33727856569261244
