subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1901,JAN,49.2
Andaman & Nicobar Islands,1901,FEB,87.1
Andaman & Nicobar Islands,1901,MAR,29.2
Andaman & Nicobar Islands,1901,APR,2.3
Andaman & Nicobar Islands,1901,MAY,528.8
Andaman & Nicobar Islands,1901,JUN,517.5
Andaman & Nicobar Islands,1901,JUL,365.1
Andaman & Nicobar Islands,1901,AUG,481.1
Andaman & Nicobar Islands,1901,SEP,332.6
Andaman & Nicobar Islands,1901,OCT,388.5
Andaman & Nicobar Islands,1901,NOV,558.2
Andaman & Nicobar Islands,1901,DEC,33.6
Andaman & Nicobar Islands,1902,JAN,0.0
Andaman & Nicobar Islands,1902,FEB,159.8
Andaman & Nicobar Islands,1902,MAR,12.2
Andaman & Nicobar Islands,1902,APR,0.0
Andaman & Nicobar Islands,1902,MAY,446.1
Andaman & Nicobar Islands,1902,JUN,537.1
Andaman & Nicobar Islands,1902,JUL,228.9
Andaman & Nicobar Islands,1902,AUG,753.7
Andaman & Nicobar Islands,1902,SEP,666.2
Andaman & Nicobar Islands,1902,OCT,197.2
Andaman & Nicobar Islands,1902,NOV,359.0
Andaman & Nicobar Islands,1902,DEC,160.5
Andaman & Nicobar Islands,1903,JAN,12.7
Andaman & Nicobar Islands,1903,FEB,144.0
Andaman & Nicobar Islands,1903,MAR,0.0
Andaman & Nicobar Islands,1903,APR,1.0
Andaman & Nicobar Islands,1903,MAY,235.1
Andaman & Nicobar Islands,1903,JUN,479.9
Andaman & Nicobar Islands,1903,JUL,728.4
Andaman & Nicobar Islands,1903,AUG,326.7
Andaman & Nicobar Islands,1903,SEP,339.0
Andaman & Nicobar Islands,1903,OCT,181.2
Andaman & Nicobar Islands,1903,NOV,284.4
Andaman & Nicobar Islands,1903,DEC,225.0
Andaman & Nicobar Islands,1904,JAN,9.4
Andaman & Nicobar Islands,1904,FEB,14.7
Andaman & Nicobar Islands,1904,MAR,0.0
Andaman & Nicobar Islands,1904,APR,202.4
Andaman & Nicobar Islands,1904,MAY,304.5
Andaman & Nicobar Islands,1904,JUN,495.1
Andaman & Nicobar Islands,1904,JUL,502.0
Andaman & Nicobar Islands,1904,AUG,160.1
Andaman & Nicobar Islands,1904,SEP,820.4
Andaman & Nicobar Islands,1904,OCT,222.2
Andaman & Nicobar Islands,1904,NOV,308.7
Andaman & Nicobar Islands,1904,DEC,40.1
Andaman & Nicobar Islands,1905,JAN,1.3
Andaman & Nicobar Islands,1905,FEB,0.0
Andaman & Nicobar Islands,1905,MAR,3.3
Andaman & Nicobar Islands,1905,APR,26.9
Andaman & Nicobar Islands,1905,MAY,279.5
Andaman & Nicobar Islands,1905,JUN,628.7
Andaman & Nicobar Islands,1905,JUL,368.7
Andaman & Nicobar Islands,1905,AUG,330.5
Andaman & Nicobar Islands,1905,SEP,297.0
Andaman & Nicobar Islands,1905,OCT,260.7
Andaman & Nicobar Islands,1905,NOV,25.4
Andaman & Nicobar Islands,1905,DEC,344.7
Andaman & Nicobar Islands,1906,JAN,36.6
Andaman & Nicobar Islands,1906,FEB,0.0
Andaman & Nicobar Islands,1906,MAR,0.0
Andaman & Nicobar Islands,1906,APR,0.0
Andaman & Nicobar Islands,1906,MAY,556.1
Andaman & Nicobar Islands,1906,JUN,733.3
Andaman & Nicobar Islands,1906,JUL,247.7
Andaman & Nicobar Islands,1906,AUG,320.5
Andaman & Nicobar Islands,1906,SEP,164.3
Andaman & Nicobar Islands,1906,OCT,267.8
Andaman & Nicobar Islands,1906,NOV,128.9
Andaman & Nicobar Islands,1906,DEC,79.2
Andaman & Nicobar Islands,1907,JAN,110.7
Andaman & Nicobar Islands,1907,FEB,0.0
Andaman & Nicobar Islands,1907,MAR,113.3
Andaman & Nicobar Islands,1907,APR,21.6
Andaman & Nicobar Islands,1907,MAY,616.3
