subdivision,years_observed,observations,average_rainfall_mm,average_risk_score,maximum_risk_score,average_rainfall_zscore,dry_months,persistent_drought_months,maximum_dry_episode,dry_month_pct,persistent_drought_pct,risk_rank
Tamil Nadu,117,1404,78.3738603988604,10.952507663145912,100.0,-2.3702945272891074e-17,143,29,9,10.185185185185185,2.0655270655270654,1
Assam & Meghalaya,117,1404,214.92777777777775,10.610079414377486,85.0,-5.076660839097938e-17,172,9,3,12.250712250712251,0.641025641025641,2
Kerala,117,1404,242.85470085470087,10.589906860620028,94.13982209578266,-2.0638761355211244e-17,157,9,5,11.182336182336181,0.641025641025641,3
Uttarakhand,117,1404,122.03639601139602,10.500539168472482,85.0,-9.647237108566176e-18,167,15,3,11.894586894586896,1.0683760683760684,4
Jammu & Kashmir,117,1404,94.79229122055675,10.302258401695683,75.25925468825216,-4.754702460921441e-18,154,6,3,10.968660968660968,0.4273504273504274,5
Himachal Pradesh,117,1404,104.73133903133902,10.296783008889662,66.24881720716274,1.05388157839685e-16,163,6,3,11.609686609686609,0.4273504273504274,6
Bihar,117,1404,99.71388888888887,10.223173660788532,84.8727172185827,1.6289597084956e-17,111,11,4,7.905982905982905,0.7834757834757835,7
Sub Himalayan West Bengal & Sikkim,117,1404,229.21153846153845,10.221852232598817,72.81004803364513,-1.0264027677802373e-16,164,6,3,11.68091168091168,0.4273504273504274,8
West Uttar Pradesh,117,1404,68.65811965811966,10.19749299691085,78.93096971109773,-2.0717837069215883e-17,108,16,4,7.6923076923076925,1.1396011396011396,9
South Interior Karnataka,117,1404,86.46217948717948,10.189117306495751,87.55783798850865,3.020692274977278e-17,143,10,4,10.185185185185185,0.7122507122507122,10
Arunachal Pradesh,99,1188,286.2981292517007,10.156416147005036,80.9038077008693,1.1895246692412391e-17,105,13,4,8.83838383838384,1.0942760942760943,11
Naga Mani Mizo Tripura,117,1404,202.72799145299143,10.154239953052413,100.0,2.625313704954074e-17,121,15,6,8.618233618233619,1.0683760683760684,12
East Uttar Pradesh,117,1404,81.32165242165243,9.991643505704053,84.24352243729217,-6.602822119387505e-17,99,9,3,7.051282051282051,0.641025641025641,13
Orissa,117,1404,121.2874643874644,9.951097627473663,66.78665947094602,-3.308330184669159e-17,113,6,3,8.048433048433049,0.4273504273504274,14
Lakshadweep,116,1392,132.91867647058822,9.936149442937198,85.0,-7.510332225405471e-17,129,9,3,9.267241379310345,0.646551724137931,15
Jharkhand,117,1404,108.97421652421652,9.924234170647466,85.0,-1.312656852477037e-17,102,3,3,7.264957264957266,0.2136752136752137,16
Gangetic West Bengal,117,1404,124.21830484330485,9.846592720259965,55.1975691401184,8.927648111123944e-17,100,0,2,7.122507122507122,0.0,17
Telangana,117,1404,79.41374643874643,9.773894642057106,82.53411842691901,5.574837837327175e-18,103,8,4,7.336182336182335,0.5698005698005698,18
Andaman & Nicobar Islands,112,1344,243.4710506424792,9.767870670979018,60.0,3.650393164867295e-17,130,0,2,9.672619047619047,0.0,19
North Interior Karnataka,117,1404,59.765598290598284,9.741021685215452,85.0,4.562668698067773e-17,128,6,3,9.116809116809117,0.4273504273504274,20
Vidarbha,117,1404,91.12891737891738,9.632878915998953,84.9044872231394,-6.428855548577296e-17,82,7,4,5.84045584045584,0.49857549857549854,21
Madhya Maharashtra,117,1404,73.4517094017094,9.601995449347314,95.0,-6.775306020560128e-17,103,8,5,7.336182336182335,0.5698005698005698,22
Coastal Andhra Pradesh,117,1404,87.52535612535613,9.579253286576193,76.52162445284539,2.0401534213197323e-17,101,4,4,7.193732193732194,0.2849002849002849,23
Chhattisgarh,117,1404,114.0951566951567,9.57252104073678,85.0,-6.7609735473967865e-18,101,3,3,7.193732193732194,0.2136752136752137,24
East Madhya Pradesh,117,1404,100.25320512820512,9.505607251046179,67.78178200468983,2.1745821351276215e-17,73,3,3,5.1994301994302,0.2136752136752137,25
Rayalseema,117,1404,63.749002849002856,9.423826375770453,53.1355624887753,-4.436147555660348e-17,105,0,2,7.478632478632479,0.0,26
Punjab,117,1404,49.28682336182336,9.406300978887584,55.9521398882881,4.6812822690747343e-17,92,0,2,6.552706552706552,0.0,27
Haryana Delhi & Chandigarh,117,1404,44.036182336182335,9.350046779795361,55.83256747740222,1.2652114240742525e-18,81,0,2,5.769230769230769,0.0,28
West Madhya Pradesh,117,1404,78.5000712758375,9.287268957978519,60.0,4.724184930158364e-17,82,0,2,5.84045584045584,0.0,29
Matathwada,117,1404,65.97763532763533,9.274681501780128,74.11733973487625,-3.048368774878902e-17,93,3,3,6.623931623931624,0.2136752136752137,30
Coastal Karnataka,117,1404,283.14027084818247,9.225142486356996,74.01725200368219,-3.521377376751209e-17,114,3,3,8.11965811965812,0.2136752136752137,31
East Rajasthan,117,1404,54.70804843304844,9.117692662120898,84.40636659444374,-6.98238554660978e-17,77,3,3,5.484330484330484,0.2136752136752137,32
West Rajasthan,117,1404,24.509615384615383,8.787291515262709,70.42663236437681,3.6967896297169564e-17,50,3,3,3.561253561253561,0.2136752136752137,33
Konkan & Goa,117,1404,248.96025641025642,8.56839955623067,85.0,5.2189971243062914e-17,94,7,4,6.695156695156696,0.49857549857549854,34
Gujarat Region,117,1404,76.48276353276353,8.064997075413558,69.46002592281037,2.6885742761577864e-17,72,3,3,5.128205128205128,0.2136752136752137,35
Saurashtra & Kutch,117,1404,41.36502849002849,7.343751454696809,44.09478838804111,1.0650510230000055e-17,42,0,2,2.9914529914529915,0.0,36
