subdivision,year,month,actual,raw_probability,isotonic_probability,sigmoid_probability,alert_level,severe_anomaly_alert
0,2000,4,0,0.104847185,0.002302379,0.007050043,LOW,0
1,2000,4,0,0.39807406,0.033492822,0.027199496,LOW,0
2,2000,4,0,0.3335321,0.021466905,0.020259243,LOW,0
3,2000,4,0,0.09414659,0.0023023789,0.006708386,LOW,0
4,2000,4,0,0.107082285,0.0023023789,0.0071235597,LOW,0
5,2000,4,0,0.06053396,0.0023023789,0.0057385983,LOW,0
6,2000,4,0,0.064102255,0.0023023789,0.005834556,LOW,0
7,2000,4,0,0.13253625,0.005141388,0.008016407,LOW,0
8,2000,4,0,0.06837325,0.0023023789,0.005951509,LOW,0
9,2000,4,0,0.17219445,0.005141388,0.009633415,LOW,0
10,2000,4,0,0.07546966,0.0023023789,0.0061510066,LOW,0
11,2000,4,0,0.034164604,0.0,0.0050764857,LOW,0
12,2000,4,0,0.059222884,0.0023023789,0.0057037356,LOW,0
13,2000,4,0,0.41617036,0.033492822,0.029529516,LOW,0
14,2000,4,0,0.36910215,0.021466905,0.02383661,LOW,0
15,2000,4,0,0.2578031,0.021466905,0.014306013,LOW,0
16,2000,4,0,0.15047827,0.0051413877,0.008711623,LOW,0
17,2000,4,0,0.081504464,0.0023023789,0.006325879,LOW,0
18,2000,4,0,0.24611898,0.021466905,0.013555931,LOW,0
19,2000,4,0,0.07616926,0.002302379,0.00617103,LOW,0
20,2000,4,0,0.0457445,0.0,0.005357332,LOW,0
21,2000,4,0,0.2715529,0.021466903,0.015241212,LOW,0
22,2000,4,0,0.05428275,0.0023023789,0.005574258,LOW,0
23,2000,4,0,0.07324675,0.002302379,0.006087811,LOW,0
24,2000,4,0,0.075405225,0.0023023789,0.0061491644,LOW,0
25,2000,4,0,0.035332877,0.0,0.0051041413,LOW,0
26,2000,4,0,0.037993513,0.0,0.005167687,LOW,0
27,2000,4,0,0.06972831,0.002302379,0.005989101,LOW,0
28,2000,4,0,0.41106537,0.033492822,0.02885329,LOW,0
29,2000,4,0,0.0661403,0.0023023789,0.0058900774,LOW,0
30,2000,4,0,0.034709495,0.0,0.0050893654,LOW,0
31,2000,4,0,0.07154996,0.0023023789,0.0060400055,LOW,0
32,2000,4,0,0.031910907,0.0,0.005023554,LOW,0
33,2000,4,0,0.032328025,0.0,0.005033309,LOW,0
34,2000,4,0,0.0635285,0.0023023789,0.005819019,LOW,0
35,2000,4,0,0.03287937,0.0,0.0050462326,LOW,0
0,2000,3,0,0.16578874,0.0051413877,0.009351901,LOW,0
1,2000,3,0,0.5636112,0.06329114,0.05715204,MODERATE,0
2,2000,3,0,0.5953491,0.08091603,0.0656917,MODERATE,0
3,2000,3,0,0.26392308,0.021466905,0.014715072,LOW,0
4,2000,3,0,0.15433484,0.0051413886,0.008868685,LOW,0
5,2000,3,0,0.074110776,0.002302379,0.0061122975,LOW,0
6,2000,3,0,0.100714065,0.0023023789,0.0069160755,LOW,0
7,2000,3,0,0.10814149,0.002302379,0.007158663,LOW,0
8,2000,3,0,0.06527516,0.002302379,0.005866445,LOW,0
9,2000,3,0,0.16729198,0.0051413886,0.009417224,LOW,0
