feature,importance,rank
month_cos,0.29081467,1
season,0.1904234,2
month,0.07205665,3
month_sin,0.071083196,4
rainfall_prev_12m,0.03231576,5
rainfall_12m,0.029183397,6
historical_monthly_mean,0.02882403,7
year,0.026494209,8
rainfall_prev_3m,0.024865523,9
rainfall_lag_2m,0.02328711,10
rainfall_prev_6m,0.023104485,11
rainfall_3m,0.02202939,12
rainfall_lag_3m,0.020991627,13
rainfall_zscore,0.018190807,14
rainfall_6m,0.018111784,15
rainfall_mm,0.018017057,16
rainfall_lag_1m,0.017831214,17
rainfall_anomaly,0.016753051,18
rainfall_deficit_mm,0.016250823,19
rainfall_trend_3m,0.015582671,20
rainfall_anomaly_pct,0.015310364,21
rainfall_missing,0.008478754,22
