month,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,pr_auc
1,648,9,0.013888888888888888,238,0.36728395061728397,0.037815126050420166,1.0,0.0728744939271255,0.06069951248239299
2,648,12,0.018518518518518517,349,0.5385802469135802,0.02865329512893983,0.8333333333333334,0.055401662049861494,0.038419769495303444
3,648,30,0.046296296296296294,541,0.8348765432098766,0.053604436229205174,0.9666666666666667,0.10157618213660245,0.11229041620402372
4,648,78,0.12037037037037036,605,0.933641975308642,0.12396694214876033,0.9615384615384616,0.21961932650073207,0.14409693282607072
5,648,103,0.15895061728395063,640,0.9876543209876543,0.1609375,1.0,0.2772543741588156,0.17928352483173268
6,648,95,0.14660493827160495,641,0.9891975308641975,0.1482059282371295,1.0,0.25815217391304346,0.1405620086151625
7,648,55,0.08487654320987655,632,0.9753086419753086,0.08702531645569621,1.0,0.16011644832605532,0.09112146529250142
8,648,25,0.038580246913580245,608,0.9382716049382716,0.03782894736842105,0.92,0.07266982622432859,0.06376650530107396
9,648,9,0.013888888888888888,384,0.5925925925925926,0.0234375,1.0,0.04580152671755725,0.10671027093264221
10,612,2,0.0032679738562091504,67,0.10947712418300654,0.014925373134328358,0.5,0.028985507246376812,0.5021459227467812
11,612,2,0.0032679738562091504,59,0.09640522875816994,0.0,0.0,0.0,0.006963911268071957
12,612,4,0.006535947712418301,83,0.13562091503267973,0.04819277108433735,1.0,0.09195402298850575,0.108501221001221
