subdivision,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,pr_auc,roc_auc
Assam & Meghalaya,213,35,0.1643192488262911,173,0.812206572769953,0.2023121387283237,1.0,0.33653846153846156,0.23162652079586182,0.6357945425361156
Tamil Nadu,213,28,0.13145539906103287,151,0.7089201877934272,0.15894039735099338,0.8571428571428571,0.2681564245810056,0.15817902442074178,0.5631274131274131
Jharkhand,213,22,0.10328638497652583,136,0.6384976525821596,0.16176470588235295,1.0,0.27848101265822783,0.28806107686775717,0.8238933841028082
South Interior Karnataka,213,20,0.09389671361502347,145,0.6807511737089202,0.13793103448275862,1.0,0.24242424242424243,0.16516899727695725,0.7132124352331606
Orissa,213,18,0.08450704225352113,139,0.6525821596244131,0.12949640287769784,1.0,0.22929936305732485,0.2566745229269494,0.8207977207977207
Sub Himalayan West Bengal & Sikkim,213,18,0.08450704225352113,162,0.7605633802816901,0.1111111111111111,1.0,0.2,0.14058239715601223,0.7062678062678063
North Interior Karnataka,213,17,0.07981220657276995,135,0.6338028169014085,0.11851851851851852,0.9411764705882353,0.21052631578947367,0.13257202295229864,0.7004801920768307
East Uttar Pradesh,213,16,0.07511737089201878,123,0.5774647887323944,0.13008130081300814,1.0,0.2302158273381295,0.4768149733063691,0.9225888324873096
East Madhya Pradesh,213,16,0.07511737089201878,131,0.6150234741784038,0.12213740458015267,1.0,0.21768707482993196,0.2902027855805396,0.8797588832487309
West Uttar Pradesh,213,15,0.07042253521126761,113,0.5305164319248826,0.13274336283185842,1.0,0.234375,0.29624516393905154,0.8922558922558923
Chhattisgarh,213,15,0.07042253521126761,133,0.6244131455399061,0.11278195488721804,1.0,0.20270270270270271,0.16743893094740162,0.8006734006734008
Konkan & Goa,213,14,0.06572769953051644,138,0.647887323943662,0.10144927536231885,1.0,0.18421052631578946,0.14898333266618966,0.7814070351758794
Naga Mani Mizo Tripura,213,13,0.06103286384976526,168,0.7887323943661971,0.07738095238095238,1.0,0.143646408839779,0.12460928715782935,0.681923076923077
Matathwada,213,12,0.056338028169014086,120,0.5633802816901409,0.1,1.0,0.18181818181818182,0.1676623056048917,0.8076285240464344
Himachal Pradesh,213,12,0.056338028169014086,185,0.8685446009389671,0.05405405405405406,0.8333333333333334,0.10152284263959391,0.1138384780067819,0.6160862354892205
Kerala,213,12,0.056338028169014086,183,0.8591549295774648,0.06557377049180328,1.0,0.12307692307692308,0.08204594574259363,0.6065505804311775
Vidarbha,213,12,0.056338028169014086,126,0.5915492957746479,0.09523809523809523,1.0,0.17391304347826086,0.22253880703723947,0.8296019900497513
Madhya Maharashtra,213,10,0.046948356807511735,116,0.5446009389671361,0.08620689655172414,1.0,0.15873015873015872,0.11985411285967468,0.7970443349753695
Bihar,213,9,0.04225352112676056,137,0.6431924882629108,0.06569343065693431,1.0,0.1232876712328767,0.1235386413212863,0.8366013071895425
West Madhya Pradesh,213,9,0.04225352112676056,105,0.49295774647887325,0.08571428571428572,1.0,0.15789473684210525,0.2760533733695498,0.860566448801743
Lakshadweep,213,9,0.04225352112676056,167,0.784037558685446,0.05389221556886228,1.0,0.10227272727272728,0.12344014059937233,0.8202614379084967
Jammu & Kashmir,213,9,0.04225352112676056,201,0.9436619718309859,0.04477611940298507,1.0,0.08571428571428572,0.04262172484414814,0.4929193899782135
Punjab,213,9,0.04225352112676056,93,0.43661971830985913,0.0967741935483871,1.0,0.17647058823529413,0.25909625216175725,0.8169934640522875
Coastal Karnataka,213,9,0.04225352112676056,133,0.6244131455399061,0.06766917293233082,1.0,0.1267605633802817,0.11647567653665214,0.7886710239651415
Haryana Delhi & Chandigarh,213,9,0.04225352112676056,84,0.39436619718309857,0.10714285714285714,1.0,0.1935483870967742,0.4483087472045374,0.9340958605664489
Coastal Andhra Pradesh,213,8,0.03755868544600939,134,0.6291079812206573,0.05970149253731343,1.0,0.11267605633802817,0.1049048694712995,0.7841463414634147
Uttarakhand,213,7,0.03286384976525822,161,0.755868544600939,0.043478260869565216,1.0,0.08333333333333333,0.08882496218899368,0.8085991678224688
Arunachal Pradesh,213,6,0.028169014084507043,181,0.8497652582159625,0.027624309392265192,0.8333333333333334,0.053475935828877004,0.04117721054840384,0.49275362318840576
Gangetic West Bengal,213,6,0.028169014084507043,149,0.6995305164319249,0.040268456375838924,1.0,0.07741935483870968,0.09057943250739708,0.8083735909822867
Rayalseema,213,6,0.028169014084507043,131,0.6150234741784038,0.04580152671755725,1.0,0.08759124087591241,0.10334931656186627,0.8373590982286634
Gujarat Region,213,6,0.028169014084507043,77,0.3615023474178404,0.06493506493506493,0.8333333333333334,0.12048192771084337,0.09195114318684114,0.8156199677938808
Telangana,213,5,0.023474178403755867,126,0.5915492957746479,0.03968253968253968,1.0,0.07633587786259542,0.10959646295432376,0.8442307692307693
Andaman & Nicobar Islands,213,3,0.014084507042253521,184,0.863849765258216,0.016304347826086956,1.0,0.03208556149732621,0.02750258413542212,0.6634920634920635
East Rajasthan,213,3,0.014084507042253521,91,0.4272300469483568,0.03296703296703297,1.0,0.06382978723404255,0.19595959595959594,0.9047619047619048
Saurashtra & Kutch,213,3,0.014084507042253521,54,0.2535211267605634,0.037037037037037035,0.6666666666666666,0.07017543859649122,0.04250764525993884,0.738095238095238
West Rajasthan,213,3,0.014084507042253521,62,0.29107981220657275,0.03225806451612903,0.6666666666666666,0.06153846153846154,0.06427979703841773,0.826984126984127
