year,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,pr_auc,roc_auc
2000,432,24,0.05555555555555555,274,0.6342592592592593,0.08759124087591241,1.0,0.1610738255033557,0.2327300090485389,0.8910334967320261
2001,432,23,0.05324074074074074,272,0.6296296296296297,0.08455882352941177,1.0,0.15593220338983052,0.0981723514790098,0.7415754225576698
2002,432,92,0.21296296296296297,271,0.6273148148148148,0.3247232472324723,0.9565217391304348,0.48484848484848486,0.41207809907550097,0.7942455242966752
2003,432,23,0.05324074074074074,263,0.6087962962962963,0.07604562737642585,0.8695652173913043,0.13986013986013987,0.0972918489469741,0.6346337833528224
2004,432,23,0.05324074074074074,268,0.6203703703703703,0.08208955223880597,0.9565217391304348,0.15120274914089346,0.0935585769552784,0.7068140746252791
2005,432,21,0.04861111111111111,272,0.6296296296296297,0.07720588235294118,1.0,0.14334470989761092,0.19988745599588922,0.8488008342022941
2006,432,19,0.04398148148148148,268,0.6203703703703703,0.06343283582089553,0.8947368421052632,0.11846689895470383,0.08834919277691208,0.7183637058748567
2007,432,8,0.018518518518518517,281,0.6504629629629629,0.028469750889679714,1.0,0.05536332179930796,0.03055752514011446,0.6854363207547169
2008,432,2,0.004629629629629629,265,0.6134259259259259,0.007547169811320755,1.0,0.0149812734082397,0.008038258038258039,0.5720930232558139
2009,432,44,0.10185185185185185,277,0.6412037037037037,0.1552346570397112,0.9772727272727273,0.26791277258566976,0.2658902581147868,0.7850281162136832
2010,432,8,0.018518518518518517,256,0.5925925925925926,0.03125,1.0,0.06060606060606061,0.056796140958405586,0.8210495283018868
2011,432,17,0.03935185185185185,274,0.6342592592592593,0.06204379562043796,1.0,0.11683848797250859,0.111182010698475,0.8120481927710843
2012,432,0,0.0,268,0.6203703703703703,0.0,0.0,0.0,,
2013,432,7,0.016203703703703703,266,0.6157407407407407,0.02631578947368421,1.0,0.05128205128205128,0.14175000787809838,0.9136134453781513
2014,432,45,0.10416666666666667,281,0.6504629629629629,0.1601423487544484,1.0,0.27607361963190186,0.21076399994918255,0.772150445018662
2015,432,37,0.08564814814814815,265,0.6134259259259259,0.13962264150943396,1.0,0.24503311258278146,0.23940004893903646,0.820595278823127
2016,432,28,0.06481481481481481,265,0.6134259259259259,0.10566037735849057,1.0,0.19112627986348124,0.1578155463176915,0.8125884016973126
2017,324,3,0.009259259259259259,261,0.8055555555555556,0.011494252873563218,1.0,0.022727272727272728,0.045739508205592014,0.8172377985462097
