season,threshold,observations,events,event_rate,alerts,alert_rate,precision,recall,f1
WINTER,0.02,1944,112,0.05761316872427984,1120,0.5761316872427984,0.09375,0.9375,0.17045454545454544
WINTER,0.03,1944,112,0.05761316872427984,920,0.4732510288065844,0.09891304347826087,0.8125,0.17635658914728683
WINTER,0.039999999999999994,1944,112,0.05761316872427984,757,0.38940329218106995,0.1096433289299868,0.7410714285714286,0.19102416570771003
WINTER,0.049999999999999996,1944,112,0.05761316872427984,626,0.3220164609053498,0.12300319488817892,0.6875,0.2086720867208672
WINTER,0.06,1944,112,0.05761316872427984,527,0.27109053497942387,0.13282732447817835,0.625,0.2190923317683881
WINTER,0.06999999999999999,1944,112,0.05761316872427984,429,0.22067901234567902,0.14219114219114218,0.5446428571428571,0.2255083179297597
WINTER,0.07999999999999999,1944,112,0.05761316872427984,335,0.17232510288065844,0.16119402985074627,0.48214285714285715,0.24161073825503357
WINTER,0.09,1944,112,0.05761316872427984,252,0.12962962962962962,0.17857142857142858,0.4017857142857143,0.24725274725274726
WINTER,0.09999999999999999,1944,112,0.05761316872427984,160,0.0823045267489712,0.18125,0.25892857142857145,0.21323529411764705
WINTER,0.10999999999999999,1944,112,0.05761316872427984,103,0.05298353909465021,0.22330097087378642,0.20535714285714285,0.21395348837209302
WINTER,0.11999999999999998,1944,112,0.05761316872427984,59,0.030349794238683128,0.2542372881355932,0.13392857142857142,0.17543859649122806
WINTER,0.12999999999999998,1944,112,0.05761316872427984,35,0.01800411522633745,0.14285714285714285,0.044642857142857144,0.06802721088435375
WINTER,0.13999999999999999,1944,112,0.05761316872427984,19,0.00977366255144033,0.21052631578947367,0.03571428571428571,0.061068702290076333
WINTER,0.14999999999999997,1944,112,0.05761316872427984,3,0.0015432098765432098,0.3333333333333333,0.008928571428571428,0.017391304347826087
PRE_MONSOON,0.02,1908,25,0.01310272536687631,250,0.1310272536687631,0.056,0.56,0.10181818181818182
PRE_MONSOON,0.03,1908,25,0.01310272536687631,177,0.09276729559748427,0.05649717514124294,0.4,0.09900990099009901
