subdivision,season,years_observed,observations,average_rainfall_mm,rainfall_std_mm,average_zscore,minimum_zscore,dry_months,dry_month_pct
Andaman & Nicobar Islands,MONSOON,112,448,427.0013667425968,149.64101136130023,1.7475264465056565e-16,-2.364381460335969,55,12.276785714285714
Andaman & Nicobar Islands,POST_MONSOON,112,336,227.0355623100304,127.98620607268977,-1.3599388417140975e-16,-2.104408113616098,48,14.285714285714285
Andaman & Nicobar Islands,PRE_MONSOON,112,336,153.39063444108763,174.5287289103165,5.702051788105034e-17,-1.9584784961822528,27,8.035714285714286
Andaman & Nicobar Islands,WINTER,112,224,41.033928571428575,60.56616002811248,-1.9329775875170135e-17,-0.7295521802671066,0,0.0
Arunachal Pradesh,MONSOON,99,396,563.553807106599,304.9727517936875,-2.564220691393128e-17,-1.3945286192307609,35,8.83838383838384
Arunachal Pradesh,POST_MONSOON,99,297,84.67422680412372,116.860319460826,4.501935288858023e-17,-1.285349433908484,6,2.0202020202020203
Arunachal Pradesh,PRE_MONSOON,99,297,259.3945762711864,154.6635698360435,4.026910631691246e-17,-1.5696304423280585,37,12.457912457912458
Arunachal Pradesh,WINTER,99,198,68.8,46.17132643335456,7.93016446160826e-18,-1.836152308034772,27,13.636363636363635
Assam & Meghalaya,MONSOON,117,468,429.3476495726496,131.50070962766432,-1.7815758365245568e-16,-2.2197503757382533,78,16.666666666666664
Assam & Meghalaya,POST_MONSOON,117,351,62.78176638176639,76.87757546542693,-5.693451408334136e-17,-1.8126874142780292,19,5.413105413105413
Assam & Meghalaya,PRE_MONSOON,117,351,208.3911680911681,133.25995028644562,5.598560551528567e-17,-2.115921747023771,50,14.245014245014245
Assam & Meghalaya,WINTER,117,234,24.11196581196581,19.75248846122542,4.2700885562506023e-17,-1.4809478448757287,25,10.683760683760683
Bihar,MONSOON,117,468,253.73076923076923,103.84686424715989,1.432851937764091e-16,-2.1804764454050645,80,17.094017094017094
Bihar,POST_MONSOON,117,351,24.54387464387464,43.526484690538396,6.326057120371263e-19,-1.090305759319342,6,1.7094017094017095
Bihar,PRE_MONSOON,117,351,26.872079772079772,27.434485409101256,-1.0058430821390307e-16,-1.870034161857839,25,7.122507122507122
Bihar,WINTER,117,234,13.697863247863248,14.862036339952198,-5.361333409514645e-17,-0.939975306124292,0,0.0
Chhattisgarh,MONSOON,117,468,300.7183760683761,126.34993351854573,-3.914247843229719e-17,-2.832482600041733,78,16.666666666666664
Chhattisgarh,POST_MONSOON,117,351,26.837321937321935,40.65295705577785,2.22993513493087e-17,-1.2978639533935918,21,5.982905982905983
Chhattisgarh,PRE_MONSOON,117,351,17.58860398860399,19.52040064108422,-1.818741422106738e-17,-1.025974898389204,2,0.5698005698005698
Chhattisgarh,WINTER,117,234,16.495299145299146,20.819496560546114,2.7518348473614992e-17,-0.8265335120522261,0,0.0
Coastal Andhra Pradesh,MONSOON,117,468,163.84700854700853,60.16406131310696,8.184336399480321e-17,-2.359216159885514,64,13.675213675213676
Coastal Andhra Pradesh,POST_MONSOON,117,351,90.84501424501424,102.46093874217807,-1.012169139259402e-17,-1.6955553273541275,29,8.262108262108262
Coastal Andhra Pradesh,PRE_MONSOON,117,351,34.0977207977208,45.36749869286973,-2.846725704167068e-18,-1.186889698440462,8,2.2792022792022792
Coastal Andhra Pradesh,WINTER,117,234,10.044017094017095,16.41379047323553,-6.1679056923619804e-18,-0.6441586848791597,0,0.0
Coastal Karnataka,MONSOON,117,468,743.383547008547,372.11461521867227,-1.3590149898122576e-16,-2.5762150841190903,67,14.316239316239315
Coastal Karnataka,POST_MONSOON,117,351,86.32136752136752,92.4676219741435,1.739665708102097e-17,-1.950720633227152,31,8.831908831908832
Coastal Karnataka,PRE_MONSOON,117,351,53.12364672364673,89.02120989215662,1.1465978530672913e-17,-1.263796590750212,16,4.5584045584045585
Coastal Karnataka,WINTER,117,234,1.7042918454935623,4.442310145825082,2.1203830298634964e-17,-0.4583991852047797,0,0.0
East Madhya Pradesh,MONSOON,117,468,268.78311965811963,143.68740470615043,-9.726312822570815e-18,-2.627421609267471,73,15.598290598290598
East Madhya Pradesh,POST_MONSOON,117,351,20.056980056980056,31.975250268153168,0.0,-0.9536921705861404,0,0.0
East Madhya Pradesh,PRE_MONSOON,117,351,10.0011396011396,13.787408286876374,5.559022694526246e-17,-0.7871161880217834,0,0.0
East Madhya Pradesh,WINTER,117,234,18.865811965811968,21.405037962971495,6.500023691181472e-17,-0.8912199409178837,0,0.0
East Rajasthan,MONSOON,117,468,151.12371794871794,104.23645832209971,-1.8313935363474804e-16,-2.507073946764734,77,16.45299145299145
East Rajasthan,POST_MONSOON,117,351,7.601994301994303,16.753545347945963,2.9099862753707806e-17,-0.5779623867761248,0,0.0
East Rajasthan,PRE_MONSOON,117,351,5.825925925925926,9.8131128123946,-7.227520260024167e-17,-0.811036349119912,0,0.0
East Rajasthan,WINTER,117,234,5.858974358974359,7.814569356177962,9.489085680556894e-18,-0.7818562876363844,0,0.0
East Uttar Pradesh,MONSOON,117,468,214.76752136752137,110.45976087052439,-1.7032908796599625e-16,-2.861090500883289,65,13.88888888888889
East Uttar Pradesh,POST_MONSOON,117,351,17.54131054131054,34.62630011987795,4.776173125880303e-17,-0.8486929160111004,0,0.0
East Uttar Pradesh,PRE_MONSOON,117,351,10.894871794871795,12.741638240624521,-4.238458270648746e-17,-1.2213515049862378,18,5.128205128205128
East Uttar Pradesh,WINTER,117,234,15.74059829059829,15.924107067795248,-5.0292154106951536e-17,-1.0884275748285748,16,6.837606837606838
Gangetic West Bengal,MONSOON,117,468,282.7423076923077,98.03516655131732,1.1410625530869663e-16,-1.930326706118759,58,12.393162393162394
Gangetic West Bengal,POST_MONSOON,117,351,47.854415954415956,68.69305331182169,5.0292154106951536e-17,-1.457552006052148,14,3.9886039886039883
