subdivision,year,month,rainfall_mm,date,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_stress,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation,rainfall_zscore,rainfall_condition
Andaman & Nicobar Islands,1901,JAN,49.2,1901-01-01,49.2,49.2,49.2,54.38214285714286,-5.182142857142857,-9.529125894792143,5.182142857142857,0,0,54.38214285714286,74.5418139073099,0.0,583.7,112,1.370703874305298,-0.06951994572585352,BELOW_NORMAL
Andaman & Nicobar Islands,1901,FEB,87.1,1901-02-01,136.3,136.3,136.3,27.685714285714287,59.41428571428571,214.60268317853456,0.0,0,0,27.685714285714287,38.12512084079,0.0,173.8,112,1.3770683482225492,1.5584025546410458,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,MAR,29.2,1901-03-01,165.5,165.5,165.5,31.59454545454545,-2.3945454545454545,-7.578983714104852,2.3945454545454545,0,0,31.59454545454545,48.4038588126673,0.0,272.8,110,1.5320321313786625,-0.04947013550743599,BELOW_NORMAL
Andaman & Nicobar Islands,1901,APR,2.3,1901-04-01,118.6,167.79999999999998,167.79999999999998,71.91636363636364,-69.61636363636364,-96.80184052181828,69.61636363636364,0,1,71.91636363636364,65.75433780963796,0.0,323.1,110,0.9143167769454638,-1.058734160442866,DRY
Andaman & Nicobar Islands,1901,MAY,528.8,1901-05-01,560.3,696.5999999999999,696.5999999999999,354.8297297297297,173.97027027027025,49.02922604675253,0.0,0,0,354.8297297297297,149.5189915541863,62.0,973.1,111,0.4213823674472639,1.1635329295758572,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,JUN,517.5,1901-06-01,1048.6,1214.1,1214.1,470.08363636363634,47.416363636363656,10.08679306583742,0.0,0,0,470.08363636363634,146.56193889141093,148.8,965.6,110,0.3117784316534621,0.32352440200381677,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,JUL,365.1,1901-07-01,1411.4,1530.0,1579.1999999999998,399.0472727272727,-33.94727272727266,-8.507080500829233,33.94727272727266,0,0,399.0472727272727,149.61514402883475,45.3,918.5,110,0.3749308772524518,-0.22689730339550476,BELOW_NORMAL
Andaman & Nicobar Islands,1901,AUG,481.1,1901-08-01,1363.7,1924.0,2060.3,398.6136363636364,82.48636363636365,20.693312047437143,0.0,0,0,398.6136363636364,139.53979372396643,101.3,924.9,110,0.3500627700470108,0.5911314717831372,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,SEP,332.6,1901-09-01,1178.8000000000002,2227.4,2392.9,440.3825688073394,-107.78256880733936,-24.474758185647577,107.78256880733936,0,0,440.3825688073394,152.3253096865977,126.2,868.9,109,0.3458931403645944,-0.7075814848438321,BELOW_NORMAL
Andaman & Nicobar Islands,1901,OCT,388.5,1901-10-01,1202.2,2613.6,2781.4,289.9890909090909,98.51090909090908,33.97055688615245,0.0,0,0,289.9890909090909,98.6924017091958,82.3,618.6,110,0.3403314290196351,0.9981610274434145,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,NOV,558.2,1901-11-01,1279.3000000000002,2643.0,3339.6,233.01818181818183,325.18181818181824,139.5521223470662,0.0,0,0,233.01818181818183,116.6866046428891,22.8,648.9,110,0.5007618020723237,2.7867964722858605,NORMAL_OR_WET
Andaman & Nicobar Islands,1901,DEC,33.6,1901-12-01,980.3,2159.1,3373.2,157.46697247706425,-123.86697247706424,-78.66219215912467,123.86697247706424,0,1,157.46697247706425,131.2184579771359,0.4,617.5,109,0.8333078099678867,-0.9439752180188506,BELOW_NORMAL
Andaman & Nicobar Islands,1902,JAN,0.0,1902-01-01,591.8000000000001,1794.0000000000002,3324.0,54.38214285714286,-54.38214285714286,-100.0,54.38214285714286,0,1,54.38214285714286,74.5418139073099,0.0,583.7,112,1.370703874305298,-0.7295521802671066,BELOW_NORMAL
Andaman & Nicobar Islands,1902,FEB,159.8,1902-02-01,193.4,1472.7,3396.7,27.685714285714287,132.11428571428573,477.1929824561404,0.0,0,0,27.685714285714287,38.12512084079,0.0,173.8,112,1.3770683482225492,3.465281756508871,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,MAR,12.2,1902-03-01,172.0,1152.3,3379.7,31.59454545454545,-19.39454545454545,-61.38573977096162,19.39454545454545,0,1,31.59454545454545,48.4038588126673,0.0,272.8,110,1.5320321313786625,-0.40068180368855,BELOW_NORMAL
Andaman & Nicobar Islands,1902,APR,0.0,1902-04-01,172.0,763.8000000000001,3377.4,71.91636363636364,-71.91636363636364,-100.0,71.91636363636364,0,1,71.91636363636364,65.75433780963796,0.0,323.1,110,0.9143167769454638,-1.093712841342347,DRY
Andaman & Nicobar Islands,1902,MAY,446.1,1902-05-01,458.3,651.7,3294.7000000000003,354.8297297297297,91.27027027027032,25.72227257839696,0.0,0,0,354.8297297297297,149.5189915541863,62.0,973.1,111,0.4213823674472639,0.6104259353380778,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,JUN,537.1,1902-06-01,983.2,1155.2,3314.3,470.08363636363634,67.01636363636368,14.256263875673971,0.0,0,0,470.08363636363634,146.56193889141093,148.8,965.6,110,0.3117784316534621,0.4572562572743849,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,JUL,228.9,1902-07-01,1212.1,1384.1,3178.1000000000004,399.0472727272727,-170.14727272727268,-42.6383750387286,170.14727272727268,0,1,399.0472727272727,149.61514402883475,45.3,918.5,110,0.3749308772524518,-1.137232957477091,DRY
Andaman & Nicobar Islands,1902,AUG,753.7,1902-08-01,1519.7,1978.0,3450.7,398.6136363636364,355.08636363636367,89.08033525286505,0.0,0,0,398.6136363636364,139.53979372396643,101.3,924.9,110,0.3500627700470108,2.5446960623919597,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,SEP,666.2,1902-09-01,1648.8000000000002,2632.0,3784.3,440.3825688073394,225.81743119266065,51.27755891978829,0.0,0,0,440.3825688073394,152.3253096865977,126.2,868.9,109,0.3458931403645944,1.48246822315523,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,OCT,197.2,1902-10-01,1617.1,2829.2000000000003,3593.0,289.9890909090909,-92.78909090909092,-31.997441910040507,92.78909090909092,0,1,289.9890909090909,98.6924017091958,82.3,618.6,110,0.3403314290196351,-0.940184748796575,BELOW_NORMAL
Andaman & Nicobar Islands,1902,NOV,359.0,1902-11-01,1222.4,2742.1000000000004,3393.8,233.01818181818183,125.98181818181816,54.06523096129837,0.0,0,0,233.01818181818183,116.6866046428891,22.8,648.9,110,0.5007618020723237,1.0796596453155562,NORMAL_OR_WET
Andaman & Nicobar Islands,1902,DEC,160.5,1902-12-01,716.7,2365.5,3520.7000000000003,157.46697247706425,3.033027522935754,1.92613566846694,0.0,0,0,157.46697247706425,131.2184579771359,0.4,617.5,109,0.8333078099678867,0.023114335968376053,NORMAL_OR_WET
Andaman & Nicobar Islands,1903,JAN,12.7,1903-01-01,532.1999999999999,2149.3,3533.4000000000005,54.38214285714286,-41.682142857142864,-76.64674591186709,41.682142857142864,0,1,54.38214285714286,74.5418139073099,0.0,583.7,112,1.370703874305298,-0.5591780059038156,BELOW_NORMAL
Andaman & Nicobar Islands,1903,FEB,144.0,1903-02-01,317.2,1539.6,3517.6000000000004,27.685714285714287,116.31428571428572,420.1238390092879,0.0,0,0,27.685714285714287,38.12512084079,0.0,173.8,112,1.3770683482225492,3.050856840559605,NORMAL_OR_WET
Andaman & Nicobar Islands,1903,MAR,0.0,1903-03-01,156.7,873.4,3505.4000000000005,31.59454545454545,-31.59454545454545,-100.0,31.59454545454545,0,1,31.59454545454545,48.4038588126673,0.0,272.8,110,1.5320321313786625,-0.6527278243832318,BELOW_NORMAL
Andaman & Nicobar Islands,1903,APR,1.0,1903-04-01,145.0,677.2,3506.4000000000005,71.91636363636364,-70.91636363636364,-98.60949587905142,70.91636363636364,0,1,71.91636363636364,65.75433780963796,0.0,323.1,110,0.9143167769454638,-1.0785047192121378,DRY
Andaman & Nicobar Islands,1903,MAY,235.1,1903-05-01,236.1,553.3,3295.4,354.8297297297297,-119.72972972972973,-33.742868677020574,119.72972972972973,0,1,354.8297297297297,149.5189915541863,62.0,973.1,111,0.4213823674472639,-0.8007660330315909,BELOW_NORMAL
Andaman & Nicobar Islands,1903,JUN,479.9,1903-06-01,716.0,872.6999999999999,3238.2,470.08363636363634,9.816363636363633,2.088216410232608,0.0,0,0,470.08363636363634,146.56193889141093,148.8,965.6,110,0.3117784316534621,0.06697757760721673,NORMAL_OR_WET
Andaman & Nicobar Islands,1903,JUL,728.4,1903-07-01,1443.4,1588.4,3737.7,399.0472727272727,329.3527272727273,82.53476462118866,0.0,0,0,399.0472727272727,149.61514402883475,45.3,918.5,110,0.3749308772524518,2.201332822359563,NORMAL_OR_WET
Andaman & Nicobar Islands,1903,AUG,326.7,1903-08-01,1535.0,1771.1,3310.7000000000003,398.6136363636364,-71.91363636363639,-18.040937339643087,71.91363636363639,0,0,398.6136363636364,139.53979372396643,101.3,924.9,110,0.3500627700470108,-0.5153629258324249,BELOW_NORMAL
Andaman & Nicobar Islands,1903,SEP,339.0,1903-09-01,1394.1,2110.1,2983.5,440.3825688073394,-101.3825688073394,-23.02147632271356,101.3825688073394,0,0,440.3825688073394,152.3253096865977,126.2,868.9,109,0.3458931403645944,-0.6655661427239462,BELOW_NORMAL
Andaman & Nicobar Islands,1903,OCT,181.2,1903-10-01,846.9,2290.3,2967.5,289.9890909090909,-108.78909090909092,-37.51489084228874,108.78909090909092,0,1,289.9890909090909,98.6924017091958,82.3,618.6,110,0.3403314290196351,-1.1023046255338453,DRY
Andaman & Nicobar Islands,1903,NOV,284.4,1903-11-01,804.6,2339.6,2892.9,233.01818181818183,51.38181818181815,22.050561797752792,0.0,0,0,233.01818181818183,116.6866046428891,22.8,648.9,110,0.5007618020723237,0.44034033160077357,NORMAL_OR_WET
Andaman & Nicobar Islands,1903,DEC,225.0,1903-12-01,690.5999999999999,2084.7,2957.4,157.46697247706425,67.53302752293575,42.887106077290106,0.0,0,0,157.46697247706425,131.2184579771359,0.4,617.5,109,0.8333078099678867,0.5146610359855244,NORMAL_OR_WET
Andaman & Nicobar Islands,1904,JAN,9.4,1904-01-01,518.8,1365.7,2954.1,54.38214285714286,-44.98214285714286,-82.71491429697248,44.98214285714286,0,1,54.38214285714286,74.5418139073099,0.0,583.7,112,1.370703874305298,-0.6034484606596313,BELOW_NORMAL
